day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx5	marker:Hcn4	marker:Gata4	up:Nkx2-5	up:Mef2c	up:Casz1	up:Arid3b	up:Gata5	up:Fos	up:Tbx20	up:Srf	up:Atf3	up:Irx2	up:Tsc22d1	up:Zbtb20	up:Irx4	up:Hoxb8	up:Mafg	up:Bbx	up:Prox1	down:Mycn	down:Id3	down:Hmgb1	down:Cnbp	down:Litaf	down:E2f5	down:Trp53	down:Lyar	down:Tgif1	down:Tfap4	down:Terf1	down:Tcf3	down:Hmgb3	down:Foxc2	down:Tcf15
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.77	-1.35	0	0	0	0	0	0	2.4	0	0	0	0	0	0	3.1	0	0	0	0	0	0	3.1	3.8	5.9	4.7	0	3.1	3.5	4.2	2.4	0	2.4	3.1	4	3.1	4.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.36	2.57	0	0	0	0	0	0	1.8	0	0	0	0	0	0	2.8	0	0	0	1.8	2.4	0	3.1	4.2	5.9	4.8	1.8	2.4	3.1	4.2	2.4	1.8	1.8	2.4	4.1	1.8	1.8
E7.75	E775_First_heart_field	First_heart_field	-4.49	-3.74	0	0	2.1	4.2	3.7	2.1	2.8	3.2	2.1	0	3.4	0	0	3.8	0	0	0	2.8	0	2.1	2.8	4.2	5.2	4.9	0	2.1	2.8	2.8	2.1	0	0	0	3.4	0	2.1
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-2.59	-1.11	0	0	0	0	0	0	2.6	0	0	0	0	0	3.3	3.3	0	0	0	0	0	0	2.6	3.3	5.4	4.9	0	0	3.3	4.2	0	2.6	0	2.6	2.6	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.16	0.84	2.7	0	0	3.3	3.3	0	2.7	2.7	0	0	2.7	0	0	2.7	0	0	0	0	0	0	3.3	4.8	5.4	4.9	0	0	3.3	4	2.7	0	0	3.3	4	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.46	0.81	0	0	0	0	3.4	0	1.8	0	2.4	0	0	0	0	3.1	1.8	0	0	2.8	1.8	0	3.8	4	5.8	4.7	2.8	1.8	2.4	3.6	0	0	0	2.4	4	2.4	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.29	-1.55	0	0	0	0	0	0	2.5	0	2.5	0	0	0	2.5	0	0	0	0	2.5	0	0	0	4.8	5.8	5.1	3.2	0	0	3.2	0	0	0	3.6	2.5	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.39	-0.85	0	0	1.8	3.6	3.5	0	0	0	0	0	0	1.8	2.4	1.8	0	0	0	2.8	3.1	0	3.3	4.2	5.6	4.9	0	2.4	3.1	3.9	3.1	1.8	1.8	2.8	3.1	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.21	-1.28	0	0	0	3.4	0	0	2.5	2.5	0	0	0	0	0	0	0	0	0	1.9	0	0	3.2	4.6	5.7	4.8	2.5	0	3.9	4.3	1.9	1.9	1.9	1.9	4.3	2.5	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.62	-0.61	1.9	0	1.9	3.4	3.4	0	2.5	0	0	0	2.5	0	0	2.9	0	0	1.9	1.9	1.9	0	0	4.7	5.4	5.1	0	1.9	3.6	3.8	0	0	1.9	1.9	3.9	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.58	5.29	0	0	0	0	0	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9	3	5.6	4.8	0	2.4	3.7	3.7	3.4	2.4	0	2.4	4.5	4.1	4.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.3	-0.73	0	0	0	0	0	0	0	0	1.7	0	2.3	0	0	0	0	0	0	2.3	3	0	0	3.9	5.7	4.7	1.7	1.7	3.5	4.1	2.3	0	0	3.2	3.2	1.7	3.8
E7.75	E775_First_heart_field	First_heart_field	-4.08	-2.44	2.7	0	2.1	3.9	4.6	0	3.1	3.1	2.1	2.1	0	0	0	3.8	0	0	0	0	3.1	0	2.1	3.4	5.7	5	0	2.7	2.1	3.4	2.1	0	2.1	2.7	2.1	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	0.78	0.53	0	0	0	0	2.4	0	1.8	0	1.8	0	0	0	0	3	0	0	0	1.8	1.8	0	2.8	4.3	5.8	5.1	0	1.8	3.3	3.8	2.8	0	1.8	2.4	3.6	1.8	3.8
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.99	-4.41	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	2.6	2	0	2	4.4	5.5	4.8	2.6	2	3	4.1	2.6	0	0	2	3.5	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.54	-2.34	0	0	2.1	2.7	0	0	2.1	0	2.1	0	2.7	0	0	3.1	0	0	0	0	2.1	0	0	5.1	5.4	4.5	2.7	3.1	3.1	3.8	0	0	2.1	2.1	3.8	2.1	0
