day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Dnd1	Dppa3	Gsc	Hhex	Ifitm3	Lhx1	Mesp1	Msx1	Msx2	Otx2	Sox17	Sp5	T
E6.75	E675_Primitive_Streak	Primitive_Streak	2.13	3.03	0	0	0	0	0	0	0	0	0	0	2.9	0	0	2.3
E6.75	E675_Primitive_Streak	Primitive_Streak	0.53	-0.79	0	0	0	3.6	0	2.6	0	0	0	0	2.6	0	2.6	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-4.74	1.53	0	0	0	0	0	0	0	0	0	0	2.5	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.04	-0.79	0	0	0	0	0	3	0	4.2	0	0	0	0	2.4	2.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.57	-6.18	3.6	0	0	0	0	2.9	0	4.7	4	0	0	0	0	2.9
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.47	-0.91	0	0	0	2.1	0	0	0	0	0	0	2.1	0	2.1	3.1
E6.75	E675_Primitive_Streak	Primitive_Streak	2.46	-0.47	0	0	0	3.4	0	2.4	3.1	2.4	0	0	2.4	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	5.58	2.91	0	0	0	0	0	3	0	0	0	0	3	0	0	3
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.17	-2.13	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8
E6.75	E675_Primitive_Streak	Primitive_Streak	2.64	-1.59	0	0	0	2.9	0	0	2.9	0	0	0	2.9	0	0	2.9
E6.75	E675_Primitive_Streak	Primitive_Streak	6.95	-1.91	0	0	0	3.9	2.6	0	3.9	0	0	0	2.6	4.7	3.9	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.06	1.84	0	0	0	2.6	0	0	0	0	0	0	3.3	0	3.3	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.04	2.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	3.66	-2.43	0	0	0	3.5	2.6	0	2.6	3.3	0	0	2.6	0	3.8	2.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.47	3.74	0	0	0	0	0	0	0	0	0	0	2.9	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.95	3.21	0	0	0	0	0	2.2	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	1.18	1.38	0	0	0	2.8	0	0	0	0	0	0	2.1	0	2.1	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-3.94	1.35	0	0	0	3	0	2.4	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	3.54	-0.41	0	0	0	4.5	3.7	0	4.4	2.4	3.5	0	2.4	0	4.3	2.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.05	3.76	0	2.1	0	2.1	0	2.7	0	0	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.03	-2.6	0	2.3	2.3	2.3	0	0	0	4	0	0	0	0	0	3.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.86	-0.66	0	0	0	0	0	2.8	0	0	2.8	0	2.8	0	0	2.8
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.85	-3.04	0	0	0	3.4	0	2.7	0	2.7	0	0	3.4	0	3.7	3.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.7	-1.81	0	0	0	0	0	0	0	0	0	0	3.1	0	2.4	3.4
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.71	0.38	0	0	0	0	0	2.5	0	0	0	0	0	0	2.5	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-6.58	0.71	0	0	0	2.4	0	3.1	0	0	0	0	2.4	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	7.93	-2.14	0	0	0	3.1	0	0	3.1	0	2.5	0	0	3.5	2.5	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.72	3.97	0	0	0	0	0	3.4	0	0	0	0	3	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	1.04	0.49	0	0	0	2.1	0	0	0	0	0	0	0	0	2.1	2.1
E6.75	E675_Primitive_Streak	Primitive_Streak	-1.37	-5.49	2.6	0	0	0	0	2.6	0	0	0	3.3	0	0	2.6	2.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.35	-6.21	3.6	0	0	0	0	3.6	0	0	2.6	0	0	0	0	4.6
E6.75	E675_Primitive_Streak	Primitive_Streak	2.59	-1.53	0	0	0	3.2	0	2.6	2.6	0	0	0	0	0	3.6	0
E6.75	E675_Primitive_Streak	Primitive_Streak	-0.01	-0.88	0	0	0	0	0	2.5	0	2.5	0	0	0	0	0	0
E6.75	E675_Primitive_Streak	Primitive_Streak	2.56	-1.93	0	2.5	0	3.2	0	0	3.2	4.4	2.5	0	2.5	0	3.2	3.6
E6.75	E675_Primitive_Streak	Primitive_Streak	-2.62	-1.35	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8
