day	Anno	celltype	UMAP_1	UMAP_2	marker:Slc2a3	marker:Postn	up:Msx1	up:Pitx2	up:Hoxb6	up:Tsc22d1	up:Peg3	up:Klf6	up:Hoxb8	up:Jun	up:Cdx4	up:Twist1	up:Rarg	up:Sp5	up:Prrx1	up:Hoxd4	down:Foxf1	down:Hlx	down:Lin28a
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.94	-4.7	3.9	0	2.2	0	0	3.2	2.9	2.9	0	2.2	0	0	0	0	0	0	2.9	0	2.2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.1	-1.51	3	0	2.6	2.6	2.6	2	2.6	0	0	2.6	0	0	2	0	0	0	4	2	2.6
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.93	-4.27	2.8	0	0	2.8	2.8	0	4.1	0	0	0	0	0	0	0	0	0	5	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-6.08	4.12	2.5	0	3.1	2.5	3.5	2.5	4.6	0	2.5	0	0	0	3.1	0	0	0	4	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.09	3.79	2.6	0	4	2.6	3.3	2.6	2.6	0	2.6	3	0	0	0	0	0	0	4.5	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.32	-1.14	3.1	0	2.3	3.3	2.3	2.3	3.6	2.3	0	0	0	0	0	0	0	0	3.6	0	1.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-6.32	-4.75	1.7	0	4.1	0	0	3.2	4	1.7	0	0	0	2.7	0	2.7	1.7	0	1.7	0	1.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.72	3.39	3.9	0	3.4	0	0	0	3.7	0	0	2.3	2.3	0	2.3	0	0	0	3	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	6.05	2.37	4.3	0	2.5	2.5	3.7	3.5	3.8	2.5	1.9	0	0	0	1.9	0	0	0	3.7	0	1.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.12	-6.64	3	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.67	-1.29	2	2	3	2.6	2	4	3	0	2.6	2.6	0	0	0	0	2	0	2.6	0	2.6
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.28	-4.88	1.7	0	3.3	0	1.7	3.2	3.2	2.7	0	0	0	2.3	1.7	0	1.7	0	3.3	0	1.7
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.23	7.08	3.1	3.1	3.1	3.6	0	3.6	3.6	2.7	2.7	3.6	0	0	2.1	0	0	0	3.1	0	2.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.91	2.36	3.2	1.6	3.1	3.2	1.6	3.2	3.2	1.6	0	2.6	0	1.6	0	0	1.6	0	3.6	0	2.2
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.47	-4.43	2	0	3.2	0	2	3.2	3.6	2	0	0	0	2.6	0	2	0	0	2	0	2.6
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.02	1.6	3	1.7	2.3	3	0	3.5	3	1.7	0	1.7	0	0	0	3	0	0	3	0	2.3
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.27	-3.27	2.9	0	0	2.9	0	2.9	4.3	3.6	0	0	0	0	0	0	0	0	4.5	0	2.9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.7	-6.02	3.9	0	3.2	3.6	0	3.2	3.6	2.5	0	0	0	0	0	0	0	0	3.6	0	2.5
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.56	2.22	2.1	0	0	2.8	0	3.1	2.8	2.8	0	0	0	0	0	2.1	0	0	4.8	2.1	2.1
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.83	3.24	3.8	0	2.5	0	2.5	3.2	3.6	0	3.2	3.6	0	0	0	0	0	0	4.1	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.63	4.08	3.3	0	3.9	2.2	2.2	2.2	3.8	2.2	0	0	0	2.2	2.2	0	2.2	0	2.9	0	2.9
