day	Anno	celltype	UMAP_1	UMAP_2	Car10	Hivep3	Jazf1	Ntng1	Pou6f2	Tshz2	Zfp804b
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.14	4.91	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	3.02	-1.84	0	4	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	3.16	6.08	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.24	2.38	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.51	1.5	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.39	-3.36	0	0	0	0	0	5.8	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	3.99	-1.53	0	0	4.3	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.75	-4.39	0	4	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.77	-3.27	0	0	0	6.2	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-4.63	1.53	0	0	0	0	0	3.7	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	5.99	-3.7	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	4.05	-5.74	0	0	0	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-1.34	0.33	0	0	0	4.3	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-2.16	-4.84	0	0	0	0	4.6	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	1.76	1.73	0	0	5.3	0	0	0	0
E11.5	E115_Postmitotic_premature_neurons	Postmitotic_premature_neurons	-0.81	0.83	0	0	5.7	0	0	0	0
