day	Anno	celltype	UMAP_1	UMAP_2	marker:Gata6	marker:Pdgfra	marker:Sox17	up:Foxq1	up:Tfec	up:Hnf1b	up:Gata4	up:Sox7	up:Xbp1	up:Creb3l2	up:Hesx1	up:Runx1	up:Nfxl1	up:Zfp37	up:Meis3	down:Pou5f1	down:Nanog	down:Rest	down:Sox2	down:Mybl2	down:Zfp57	down:Klf2	down:Esrrb
E3.5	E35_ICM	ICM	-4.89	6.83	3.6	3.2	2.8	0.2	0	0.2	0	0	2.8	0	0	0	1.4	1.1	0	4.8	0.6	2.5	2.3	3	0.9	0.4	2.1
E3.5	E35_ICM	ICM	-6.11	7.54	4	2.6	0.3	0	0	0	1.3	0	1.2	0	0.8	0	2.9	0	0	5.5	2.7	3.4	1.7	3.3	2.7	2.9	3.3
E3.5	E35_ICM	ICM	-5.85	6.97	2.5	3.4	0	0	0	0	0	0	1.2	0.4	2.2	0	1.4	0.7	0	5.4	4.1	3	1.9	3.2	2.1	4	1.2
E3.5	E35_ICM	ICM	-8.25	6.5	3.7	4	3.8	1.9	0	0	3.8	0	2.6	2.3	1.1	2.1	2.6	1.8	0	5.3	0.3	2.8	2.1	3	1.1	1.6	2.1
E3.5	E35_ICM	ICM	-4.04	7.12	4.4	3.2	3.1	0	0	0	3.1	0	1.6	1.6	1.6	1.6	1.6	1.5	0	5.2	0	3.7	0	3.6	1.6	0.3	3.1
E3.5	E35_ICM	ICM	-4.44	6.58	4	3.3	1.8	0	0	0	0	0	0.5	0	0	0	0.9	0	0	5.5	3.4	3.2	2.8	3.5	3.3	2	3.8
E3.5	E35_ICM	ICM	-5.94	3.86	1.4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9	4.2	3.9	1.3	2.7	1.6	3.2	0
E3.5	E35_ICM	ICM	-8.65	5.65	3.3	2.9	3.4	0	0	0	3.9	0	0	0	0	2.3	0	0	0	4.6	2.7	3.3	0.1	4	0	3	0
E3.5	E35_ICM	ICM	-8.35	5.29	2.7	3.9	0.3	1.8	0	0	0.5	0	0	2.2	0	0.2	0	0	0	5.1	2.5	3.3	1.7	4.1	1.8	0.9	2.4
E3.5	E35_ICM	ICM	-5.65	4.75	2.8	1.1	0	0	0	0	0.6	0	0	0	1.8	0.3	0	2.5	0	5.5	3.6	3.2	0.8	2.7	2.8	3	2.3
E3.5	E35_ICM	ICM	-6.21	3.04	2.9	1.8	0	0	0	0	0	0	3	0	0	0	0	0.8	0	5	4	4.1	2.9	3.8	3.2	1.6	0
E3.5	E35_ICM	ICM	-5.85	4.25	2.4	0	0	0	0	0	0	0	2.9	0	2.9	0	0	0	0	5.5	3.5	3.3	2.8	4	2.3	3.7	1.2
E3.5	E35_ICM	ICM	-5.39	5.28	0	0	0	0	0	0	0	0	2.3	0	1.8	0	0	0	0	5.8	4	4.3	3.7	3.9	2.5	3.8	1.7
E3.5	E35_ICM	ICM	-4.7	5.42	0	0	0	0	0	0	0	0	2.8	0.7	1.3	0	0	0	0	5.3	4.2	3.6	1.1	3	0.7	3.4	2.9
E3.5	E35_ICM	ICM	-6.76	5.96	2.7	1.9	0	0	0	0	1.1	0	0.3	0	1.6	0	2.3	0.3	0	5.5	4.2	3.5	2.5	4	1.2	3	2.3
E3.5	E35_ICM	ICM	-6.55	3.45	1.4	2.4	0	0	0	0	0	0	3.3	1.2	2.2	0	1.3	0	2.1	5.3	3.4	2.8	2.8	2.9	1.7	2.8	0.8
E3.5	E35_ICM	ICM	-8.74	4.6	2.3	2.8	2.9	1.7	0	0	1.9	0	3.7	0	2.2	0	0	0	0	4.8	0	2.3	1.8	3.4	2.9	0.3	0.5
E3.5	E35_ICM	ICM	-6.11	5.83	2.9	1.7	0	0	0	0	0	0	0	0	0.3	0	0	0	0	5.6	3.6	3.1	2.1	1.7	1.5	3.1	0
E3.5	E35_ICM	ICM	-7.68	3.16	4.3	0	0.7	0	0	0.7	0	0	0.3	0	0	0	0.2	0	0	4.9	3.6	3.8	0	2.7	2.2	3.3	2
E3.5	E35_ICM	ICM	-5.32	6.04	1.5	0	0	0	0	0	0	0	2.4	0	2.5	0	0	0.8	0	5.5	3.9	3.7	2.2	3	2.8	2.9	1.2
E3.5	E35_ICM	ICM	-6.52	2.91	3.1	0.4	0	0	0	0	0	0	3.1	0	2.2	0	0	0	0	5.7	3	2	2.2	2.5	0.1	2.5	0
E3.5	E35_ICM	ICM	-7.03	2.83	3.2	0	0	0	0	0	0	0	0	2.9	0	0	2.4	0	0	5.6	0	3.1	1.8	2.8	0.2	2.6	3.5
E3.5	E35_ICM	ICM	-3.94	4.67	2	2.8	0	0	0	0	0	0	0.4	2.5	0	0	0.7	0	0	5.2	3.6	3.3	2.4	2.3	1.4	2.8	2.4
E3.5	E35_ICM	ICM	-6.65	6.4	4	1.1	0	0	0	0	0	0	2.4	2	0.7	0	2	0	0	4.8	4.5	3.6	3.1	3	0.9	3.7	3.4
E3.5	E35_ICM	ICM	-7.93	6.78	2.7	2.3	0	0	0	0	0.5	0	0.9	0.7	0.3	0.3	0	0	0	5.4	4.4	3	1	4.3	0.9	1.4	1.8
E3.5	E35_ICM	ICM	-8.6	6.32	0.8	0	0	0	0	0	0	0	3.5	0	2	0	0	0	0	4.7	3.9	3.9	0	2.9	0.5	1	1.8
E3.5	E35_ICM	ICM	-7.78	5.66	3.7	3.3	0	0	0	0	0	0	2.6	0	0	0.3	0	0	0.4	4.7	4	3.6	0.1	2.9	1.9	1.3	2.2
E3.5	E35_ICM	ICM	-7.73	6.55	2.9	2.6	0	0	0	0	0	0	0	0	0	0	0.3	0.3	0	5.2	4	2.6	0.8	2.8	3.3	1.1	2.8
E3.5	E35_ICM	ICM	-8.47	6.83	0.3	0	0	0	0	0	0	0	2	0	2.7	0	1.1	0	0	5.1	4.5	3.8	0.3	3.3	0	1.9	2.9
