day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hes3	up:Nkx1-2	up:Hoxb9	up:Sox2	up:Foxb1	up:Nr6a1	down:T	down:Tbx6	down:Msx2	down:Mixl1	down:Mesp1	down:Hes7	down:Klf5	down:Snai1	down:Hand1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.5	1.4	3.3	2.7	2.7	2.7	4	0	2.7	3.3	0	3.7	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.53	-4.16	0	0	0	0	4	0	2.2	2.2	2.2	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.16	2.83	2.8	3.9	0	0	3.5	0	0	0	2.8	3.9	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	0.98	-5.8	3.4	2.1	2.1	2.1	2.7	0	0	0	2.1	0	0	0	0	0	3.1	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.16	2.07	3.4	3.4	2.7	2.7	2.7	2.7	2.7	2.7	2.7	0	0	0	0	0	2.7	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.53	-1.76	3.3	2.9	0	0	2.9	2.3	0	0	2.3	3.8	0	0	0	0	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.58	1.62	3.1	2.5	3.1	3.1	0	0	2.5	0	2.5	3.1	0	2.5	0	0	2.5	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.96	1.22	2.4	3.5	2.4	2.4	3.1	3.5	0	0	2.4	2.4	0	0	0	0	0	2.4	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.02	1.41	3	0	3	3	3	2.4	0	0	3.4	3	0	0	0	0	4.6	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	1.15	5.33	0	2.4	2.4	2.4	2.4	3	2.4	0	0	2.4	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.21	-0.8	3.6	2.3	4.1	4.1	0	3.3	0	0	2.9	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.36	1.15	0	2.3	2.9	2.9	2.9	2.3	0	0	2.3	0	0	0	0	0	2.3	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.75	-1.78	0	0	3.6	3.6	0	0	0	2.5	0	0	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.73	2.7	4.1	0	2.1	2.1	2.8	2.8	0	0	2.1	2.1	0	2.1	0	0	0	2.8	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	2.76	-2.93	2.2	0	2.8	2.8	4	2.2	0	0	2.2	0	0	0	0	0	2.2	2.2	0	0
