day	Anno	celltype	UMAP_1	UMAP_2	Apoa2	Apoe	Arid3c	Creb3l3	Gli3	Hand1	Lamb1	Lhx1	Myc	Sparc	Srebf2	Tfap2c	Ttr	Zic3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.27	4.01	3.2	7.6	2.4	4.3	0	0	3.5	0	2	5.9	4.2	0	5.7	1.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.09	3.22	3.1	7.9	2.1	4.6	0	0	4.7	0.1	2.1	5.8	3.8	0	6.5	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.33	1	3.2	7.1	2.9	3.2	0	1.2	3.2	2.4	0.8	5	3.9	2.1	5.7	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.24	3.61	2.7	7.3	1	4.2	0	0	3.7	0.9	0	6	3.6	0	5.5	1.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.95	4.33	3.7	8	1.8	4	0	0	3.3	1.2	1.5	5.9	4	0	5.7	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.14	2.07	2.4	7.2	3.6	2.4	0	0	2.9	1.9	0.9	4.9	3.7	0.9	4.9	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.12	-0.09	2.3	7.1	3	2.2	0	0	3.3	3.2	0	5.2	4.1	0	4.7	2.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.83	1.01	0	6.6	4	3.8	0	0	3.5	0.8	1.4	5.2	3.5	0	5.6	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.26	0.7	3.9	7.1	1.2	3.3	0	0	3.5	2.7	0	4.9	4.2	0.3	5.7	2.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.29	3.04	0.7	7.9	2.7	4.2	0	0	4	0.2	1.5	6.1	3.9	1.1	7.3	3.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.09	1.87	2.3	7.3	2.8	3.8	0	0.4	3.6	1	1.3	5.7	4	0.3	5.8	3.6
E5.25	E525_Parietal_endoderm	Parietal_endoderm	-2.92	0.37	0.8	6.7	1.7	3	0.9	0.4	3.1	0.2	2.2	5.1	3.2	0	5.2	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.59	1.22	0	5.8	2.5	3.7	0	0	0	1.9	0	4.4	4	0.1	3.9	3.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.33	-0.05	3.8	7	2.7	1.9	0	0	2.8	3.8	1	4.7	4	0.6	5.7	2.3
