day	Anno	celltype	UMAP_1	UMAP_2	marker:Ttr	marker:Apoa2	marker:Apoe	up:Zic3	up:Arid3c	up:Creb3l3	up:Nfia	up:Srebf2	up:Hmg20b	up:Mlxipl	up:Prdm6	up:Lhx1	up:Hnf4a	up:Stat6	up:Zfp280b	up:Tfcp2l1	down:Egr1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.82	-1.49	5.5	2.3	7	2.7	2.1	3.3	1.5	3.5	3.1	1.3	2.1	1	2.5	2.7	2.1	1.3	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.47	0.59	5.8	3.3	6.9	2.5	1.8	1.6	0.8	3.5	2.6	0.8	1.5	2.7	2.3	2.8	2.4	2.2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.42	0.77	4.8	1.7	6.7	3.4	1.5	3.6	0.8	3.4	3.1	1.7	1.6	3.6	1.9	2.2	1.7	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.37	0.58	5.3	1	6.7	3.2	2.6	3	0	3.8	3.4	0	2.1	3.9	2.9	2.9	1.4	2	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.04	-1.09	5.3	0	6.3	1	2.7	2.2	0.7	3.7	3.4	1.3	1.6	0	3	2.1	2	1.4	0
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.44	-0.98	4.5	0	5.3	3.9	0	2.9	0.8	2.7	3.8	0	0.1	0	3	2.3	3	2.1	0
E5.25	E525_Parietal_endoderm	Parietal_endoderm	1.05	0.1	5.3	2.4	6.8	1.6	1.6	3	1.3	3.3	2.3	0	3.2	0	1.8	0	1.6	0.4	0
E4.5	E45_Hypoblast	Hypoblast	-1.95	1.94	3.1	0	4.5	0	0	0	0	3.3	1.6	0	0	0.7	0.5	0	0	1.9	0
E4.5	E45_Hypoblast	Hypoblast	2.83	3.18	3.2	0	5.8	0	0	0	0	2.2	2	0	0	0	0	2.4	1.6	3.2	1.3
E4.5	E45_Hypoblast	Hypoblast	-0.28	1.6	0	0	5.7	0	0	0.5	0	1.6	1.7	0	0	0	0	2.4	1.7	2.1	0
E4.5	E45_Hypoblast	Hypoblast	-1.04	2.09	1.1	2.1	5.1	0	0	0	0	3.1	2	0	0	0	3.2	0	2.6	0	0
E4.5	E45_Hypoblast	Hypoblast	2.71	3.18	3.3	0	5.7	0	0	0	0	2.7	2.8	0	0.3	0	0	0.3	0	2.4	0.3
E4.5	E45_Hypoblast	Hypoblast	-0.17	0.21	1.2	0	5.2	0	0	0	0	2	0	0	0.2	0	1.5	0	1.6	0	1.1
E4.5	E45_Hypoblast	Hypoblast	0.78	-1.2	0.8	0	6.7	0	0	0	0	2.5	2	0	2.8	1	2	1.1	0	0	0
E4.5	E45_Hypoblast	Hypoblast	1.92	2.68	0	0	6	0	0	0	0	2.2	2.1	0	0	0	2.5	0.9	1.3	0	3.4
E4.5	E45_Hypoblast	Hypoblast	2.74	1.79	1.7	0	6.1	0	0	1.1	0	2.2	1.4	0	1.7	0	1.6	3.3	0	0	2.1
E4.5	E45_Hypoblast	Hypoblast	-0.2	-0.35	1.8	0	4.9	0	0	0	0	2.4	2.8	0	0	1.6	1.5	0	1	0.3	1.8
E4.5	E45_Hypoblast	Hypoblast	3.06	-1.68	1.4	0	5.6	0	0	1.7	0	3.4	3	0	1	1.5	1.9	1.7	2.5	2.6	1.4
