day	Anno	celltype	UMAP_1	UMAP_2	marker:Bmp4	marker:Fzd4	up:Hand1	up:Foxf1	up:Msx2	up:Msx1	up:Etv2	up:Fos	up:Prdm6	up:Cdx2	up:Hoxb2	up:Hoxd1	up:Isl1	up:Prrx2	up:Irf1	up:Zfp703	down:Sp5	down:Lhx1	down:Mesp1	down:Mesp2	down:Pou5f1	down:Gsc	down:Sox4	down:Mixl1	down:Otx2	down:Eomes	down:Zic5	down:Irx5
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.63	-1.85	0	0	2	0	2.6	2	2	0	0	0	0	0	0	0	0	0	3.5	3.3	4.9	0	4	0	2	4	2	3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.25	3.5	0	0	0	0	0	0	0	0	0	2.1	2.7	0	0	0	0	0	2.7	2.1	5	0	4.6	2.7	3.1	4.1	0	3.4	2.7	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-5.62	1.67	0	0	0	0	0	2.4	2.4	0	0	0	0	0	0	0	0	0	2.4	0	3.7	0	4.4	3.4	3.4	5.1	2.4	3.7	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-2.62	-1.86	0	0	1.9	2.5	2.5	2.5	0	0	0	0	0	1.9	0	0	0	0	1.9	3.7	5.3	1.9	4.5	3.4	3.4	4.3	3.2	3.2	1.9	1.9
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.64	0.46	2	0	2	0	0	3.5	2	0	0	0	2	0	0	0	0	0	3.3	3	4.8	3.3	4.4	0	3.3	5.2	3.7	3.5	3	2
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.15	0.94	2	0	4.4	3.7	2.6	0	0	0	0	0	0	0	2	0	0	0	2	0	4.4	0	4.1	2	3.3	3	0	3.3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.09	0.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.2	3.8	4.2	0	4.2	2.8	2.8	4.9	2.4	3.2	2.4	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-4.39	0.09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	4.4	2.3	3.6	2.3	2.9	3.8	0	2.3	2.3	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-1.89	-2.23	0	0	3	0	3.5	3.2	0	2	0	0	2	0	0	0	0	0	3.8	3.5	4.5	3.6	4	0	3.8	3	2	3.6	2.6	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	4	-2.71	0	0	3.3	2.4	0	2.4	3.3	0	0	0	0	0	0	0	0	0	1.8	3.5	5.3	1.8	2.4	3.3	3.5	2.8	1.8	3.7	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.36	-0.38	0	0	1.6	0	3.1	2.9	1.6	0	0	0	0	0	1.6	0	0	0	2.6	3.3	5	2.9	4.1	1.6	2.6	2.6	1.6	1.6	1.6	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	0.49	-0.8	0	0	1.9	0	2.8	1.9	1.9	0	1.9	0	0	0	0	0	0	0	0	3.5	4.5	0	3.5	0	2.8	2.8	3.1	2.8	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.42	-1.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8	3	5	3.2	4.7	2.7	3.6	4.2	1.7	2.3	2.3	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	3.87	-0.84	0	0	0	0	0	2.1	4.1	0	0	0	0	0	0	0	0	0	2.7	2.1	4	0	2.7	0	3.4	3.8	0	2.7	2.1	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	1.08	-4.06	0	0	1.7	0	0	0	1.7	0	1.7	0	0	0	0	1.7	0	0	1.7	3.9	3.8	3.4	4	2.6	3.3	0	1.7	2.3	0	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-0.94	-1.53	0	0	2.7	0	0	0	2	0	2	0	0	0	0	0	2	0	2	3	4.8	3.3	3.5	2	3.9	4.4	0	2	2	0
E7.25	E725_Nascent_mesoderm	Nascent_mesoderm	-3.65	3.88	0	0	2.6	2.6	2.6	0	0	0	0	0	0	0	0	0	0	0	3.2	0	4.7	2	4.3	2	2.6	3.2	0	2	2	0
