day	Anno	celltype	UMAP_1	UMAP_2	marker:Tnnt2	marker:Myl4	marker:Myl7	up:Bcl11a	up:Nfib	up:Nfia	up:Mecom	up:Tox	up:Foxp2	up:Sox5	up:Npas3	up:Nr3c1	up:Gli3	down:Nr6a1	down:Arid3b	down:Gata4	down:Lin28b	down:Lef1	down:Mef2c
E9.5	E95_First_heart_field	First_heart_field	6.16	0.86	4.4	3.7	4.4	0	4.8	4.4	0	4.4	0	0	0	0	0	4.4	0	4.4	0	0	3.7
E9.5	E95_First_heart_field	First_heart_field	-2.14	-2.86	5.9	4.1	0	0	0	4.1	0	0	4.8	4.1	0	0	0	4.8	0	5.9	0	0	4.8
E9.5	E95_First_heart_field	First_heart_field	-2.34	-4.96	0	0	0	4.8	0	0	0	0	6.1	5.5	0	0	4.8	0	0	6.6	0	0	0
E9.5	E95_First_heart_field	First_heart_field	3.47	0.52	4.2	4.2	0	0	0	0	0	0	4.2	0	5.6	0	0	0	4.2	0	4.9	0	0
E9.5	E95_First_heart_field	First_heart_field	5.94	0.94	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	0	4.9	0	4.2	4.9
E9.5	E95_First_heart_field	First_heart_field	-3.33	-4.49	3.3	4.4	0	0	0	0	0	0	5.2	0	4	0	0	0	0	4.7	0	0	4.7
E9.5	E95_First_heart_field	First_heart_field	-3.28	-2.76	0	0	0	0	0	0	0	0	6.9	0	0	0	6	0	0	5.3	0	5.3	5.3
E9.5	E95_First_heart_field	First_heart_field	-3.61	-3.23	0	5.2	0	0	0	0	0	0	5.9	0	0	0	0	5.9	5.9	5.9	0	5.2	6.3
E9.5	E95_First_heart_field	First_heart_field	4.5	1.01	4.9	0	0	0	0	4.2	0	0	0	0	0	4.9	0	0	0	5.6	0	0	0
E9.5	E95_First_heart_field	First_heart_field	1.36	2.8	0	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	7.46	0.62	0	4.4	0	3.8	4.8	3.8	0	3.8	0	0	3.8	0	0	0	3.8	5.7	4.8	4.8	5.1
E9.5	E95_First_heart_field	First_heart_field	3.05	-1.48	6.2	4.7	4	0	4.7	4	0	0	0	0	0	0	0	4	0	4.7	0	0	4.7
E9.5	E95_First_heart_field	First_heart_field	-6.29	-5.72	0	0	0	0	4.9	6.2	0	0	4.9	0	0	0	0	4.2	0	6.2	0	0	5.3
E9.5	E95_First_heart_field	First_heart_field	-3.16	-4.71	4.5	4.5	0	0	0	4.5	0	0	0	0	0	0	4.5	0	0	5.2	0	0	0
E9.5	E95_First_heart_field	First_heart_field	3.14	-4.32	5.4	4.6	3.5	3.5	0	3.5	0	0	4.2	0	0	0	3.5	4.6	4.6	6	0	3.5	4.8
E9.5	E95_First_heart_field	First_heart_field	1.87	-1.56	0	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0	6.2
E9.5	E95_First_heart_field	First_heart_field	5.06	-0.3	0	0	0	0	0	0	0	0	0	0	4.3	0	0	0	0	5.6	4.3	0	0
E9.5	E95_First_heart_field	First_heart_field	5.92	-2.95	5.1	4.7	4.2	0	3.8	3.8	0	0	0	0	3.2	0	0	4.5	0	4.7	0	0	4.5
E9.5	E95_First_heart_field	First_heart_field	-0.49	1.09	4.8	4.8	0	0	0	0	0	0	4.8	4.8	0	0	0	0	0	0	0	0	0
E9.5	E95_First_heart_field	First_heart_field	-1.08	-0.72	0	4.7	4.7	0	5.4	0	0	4.7	5.1	0	0	0	5.1	0	0	0	4	0	5.6
