day	Anno	celltype	UMAP_1	UMAP_2	Cdx2	Hesx1	Irx3	Meis2	Six3	Sp5
E7.25	E725_Epiblast	Epiblast	-2.54	3.53	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.68	0.62	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.21	-3.9	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.19	-4.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.08	3.03	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.96	-0.05	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.5	0.18	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.77	-3.99	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.95	2.1	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.64	0.01	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.95	-0.35	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.17	0.19	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.54	-3.37	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.56	3.37	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.12	-3.22	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.72	-1.26	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.31	-4.02	0	0	0	0	2.2	0
E7.25	E725_Epiblast	Epiblast	2.72	-3.76	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.24	2.19	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.07	-2.07	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.54	2.57	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.37	-1	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.51	-2.58	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.48	1.59	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.95	1.26	0	2.1	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.77	2.87	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.31	2.52	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.09	-4.47	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.8	-3.34	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.21	-2.58	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.05	2.88	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.5	-3.08	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.19	2.92	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	4.06	-3.26	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.73	-1.72	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.94	2.74	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.04	-0.91	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.18	1.21	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.54	-3.43	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-2.33	3.27	0	0	2.1	0	0	0
E7.25	E725_Epiblast	Epiblast	2.79	-3.05	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.26	-2.27	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-5.17	-0.14	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0	1.7	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.44	1.43	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.09	1.26	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.09	-4.09	2.1	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.37	-2.11	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-3.57	0.43	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-0.48	-1.86	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-5.99	0.74	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-1.15	-1.17	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	1.29	-0.96	0	0	0	0	0	2.3
E7.25	E725_Epiblast	Epiblast	-2.73	-2.77	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.64	3.23	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	0.68	-4.44	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	3.26	-3	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.19	-2.67	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	-4.86	1.29	0	0	0	0	0	0
E7.25	E725_Epiblast	Epiblast	2.14	-1.99	0	0	0	0	0	0
