day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Bmp4	Dll1	Etv2	Foxc2	Foxf1	Fzd4	Gata4	Hand1	Hes7	Hoxa1	Hoxb1	Irx1	Irx5	Isl1	Meis2	Meox1	Msx1	Msx2	Mycn	Pax3	Tbx1	Tbx6	Tcf15	Tcf21
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	1.24	3.47	0	0	3.2	0	3.2	3.2	0	0	2.2	0	0	3.5	0	0	0	2.2	0	0	0	2.2	0	2.2	2.2	3.2	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	4.2	1.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.14	1.33	0	0	2.3	0	0	0	0	2.3	0	0	0	3	0	0	0	3.4	0	3	3	3.4	0	0	2.3	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	0.61	-3.89	0	0	0	0	0	3.5	0	0	3.9	0	2.8	3.5	0	0	2.8	2.2	0	2.2	0	2.2	0	0	2.8	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-1.15	-3.29	0	0	2.2	0	0	2.9	0	2.2	0	2.2	3.3	2.2	0	0	0	2.9	0	2.2	0	2.2	0	0	2.2	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	1.19	2.11	0	2.7	0	0	2.1	2.1	0	2.1	0	0	3.1	3.8	0	0	2.1	2.7	0	3.1	0	3.4	0	0	0	2.7	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	3.49	-1.89	0	0	0	2.9	0	2.9	0	2.2	3.8	0	2.2	0	0	0	0	2.2	0	3.5	2.9	2.2	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	1.22	-0.87	0	0	0	0	0	0	0	0	0	4.1	2.1	3.1	0	0	0	2.7	2.7	0	2.1	0	0	0	2.1	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-0.88	2.97	0	0	0	0	2.9	2.9	0	0	0	0	2.3	2.3	0	0	2.3	2.9	0	2.9	0	2.9	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-0.02	1.93	0	0	0	0	0	0	0	0	0	2.2	0	0	0	2.2	0	2.2	0	2.9	0	0	0	0	2.2	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-4.51	-1.46	0	0	2.1	0	0	0	0	0	0	0	0	0	0	2.7	0	2.1	0	0	0	2.7	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-2.12	-1.96	0	0	0	0	2.8	0	0	0	0	1.8	2.5	3.6	0	1.8	1.8	0	0	0	0	1.8	0	0	0	1.8	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	0.15	-4.7	0	3.3	0	0	0	3.3	0	0	4.9	2.3	0	0	0	0	0	2.3	0	3.8	3.3	2.3	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	2.39	-1.61	0	0	0	0	3.3	0	0	0	0	0	0	0	0	2.7	0	2.7	0	0	0	4	0	0	0	0	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	5.33	2.41	0	0	0	0	3.1	2	0	0	0	0	2.7	0	0	0	0	3.1	3.3	0	0	4.3	0	0	0	3.3	2
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	2.71	-1.52	0	0	0	0	0	2.7	0	2.7	0	0	0	3.7	0	2.7	2.7	0	0	2.7	0	4.5	0	3.3	0	0	3.7
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	6.3	-0.26	2.1	0	0	0	0	3.1	0	2.1	0	0	0	0	0	2.1	0	0	0	0	0	3.4	0	0	0	0	2.1
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.42	1.77	2.3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2.3	0	0	0	4.3	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	0.33	3.54	0	0	2.3	0	2.3	0	0	0	0	0	0	2.9	2.3	0	0	2.3	0	0	0	2.9	0	0	2.9	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-1.62	0.35	0	0	2	2	2	0	0	0	0	2	0	0	0	2	0	0	0	0	0	3.8	0	0	0	0	0
E7.5	E75_Mixed_mesoderm	Mixed_mesoderm	0.42	-3.42	0	0	1.8	0	0	3.1	0	0	4.3	0	0	3.5	0	0	3.3	0	0	3.6	2.5	2.5	0	0	0	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-6.38	-1.47	0	1.8	0	1.8	0	0	0	0	0	3.7	4.1	2.8	0	0	0	2.4	1.8	0	0	2.4	0	0	0	0	0
E7.5	E75_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.29	4.16	3.7	0	0	2	2.6	0	0	0	0	0	0	0	2.6	0	0	0	2	0	0	2.6	0	2	0	3.5	2.6
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.53	1.7	0	0	0	0	0	0	0	0	0	0	0	2.3	0	0	0	0	0	0	0	2.3	0	0	0	2.3	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-1.33	1.01	0	0	0	0	2.4	0	0	0	0	1.8	3.1	3.1	0	1.8	0	2.4	0	0	0	2.4	0	0	2.8	0	0
E7.5	E75_Nascent_mesoderm	Nascent_mesoderm	-3.21	-0.9	0	0	2.2	0	0	0	0	0	0	0	0	1.6	1.6	2.2	0	2.2	0	0	0	2.9	0	0	2.6	1.6	0
E7.5	E75_Splanchnic_mesoderm	Splanchnic_mesoderm	6.16	-0.47	0	2	0	0	0	2	2	0	0	0	3	2.6	0	0	2	0	0	0	0	3.8	0	0	0	0	2
