day	Anno	celltype	UMAP_1	UMAP_2	Atp1a2	Epha7	Itga11	Lamc3	Mkx	Nfia	Zfpm2	Zic1	Zic4
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.08	-1.07	0	4.7	0	0	0	0	5.1	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.51	-1.14	0	0	0	0	0	0	4.9	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.96	-2.49	0	5.2	0	0	0	5.2	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.16	-1.45	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.37	0.78	0	5	0	0	0	5.7	0	5	5
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.68	-0.88	0	4.8	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.22	-0.33	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.82	-1.51	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.64	-2.35	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.02	0.91	0	0	0	0	0	4.4	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.47	-1.28	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.29	-1.47	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.16	2.33	0	5.5	0	0	0	0	0	5.5	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.92	-1.68	0	5.4	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.65	4.21	0	0	0	0	4.5	0	0	0	4.5
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.63	-4.36	0	0	0	0	0	4.2	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.91	0.17	0	0	0	0	0	4.9	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.84	2.48	0	4.8	0	0	0	0	5.5	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.61	1.26	0	0	0	0	4.3	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.67	0.65	0	6	0	0	0	0	4.2	4.9	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.22	-0.82	0	5.2	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.16	-0.15	0	0	0	0	0	0	5.9	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.55	1.03	0	4.4	0	0	0	4.4	5.1	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.83	0	0	0	0	0	0	0	0	0	4.8
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.03	-0.62	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.27	-2.9	0	0	0	0	0	0	4.1	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.98	2.53	0	4.1	0	0	0	0	4.1	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.07	-2.18	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.21	-0.08	0	4.4	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.8	-1.26	0	4.6	0	0	0	4.6	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.15	-1.95	0	5.5	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.97	-2.71	0	0	0	0	0	4.9	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-5.49	1.84	0	5	0	0	5	5	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.83	1.07	0	5.4	0	0	0	0	0	4.7	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	3.33	-4.8	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.19	-4.11	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.44	-3.43	0	4.2	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.89	-1.05	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.98	-6.61	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.87	-3.72	0	5	0	0	0	5	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	1.48	-1.21	0	0	0	0	0	5.1	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.94	-2.84	0	0	0	0	0	3.9	3.9	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.16	-2.09	0	0	0	0	0	5.1	4.4	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.95	4.18	0	0	0	0	0	0	0	5.2	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.02	0.66	0	5.4	0	0	0	4.7	4	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-5.47	3.1	0	0	0	0	0	0	4.9	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.58	1.31	0	5.8	0	0	0	0	0	3.9	3.9
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.92	-2.05	0	6	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.07	-2.88	0	0	0	0	0	0	4.7	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.09	-1.77	0	5.7	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.3	-3.97	0	5.1	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-4.78	4.24	0	5.3	0	0	0	3.9	5	4.6	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.64	-1.84	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-3.61	-0.94	0	6.6	0	0	0	0	4.7	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.32	-2.86	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	5.92	-2.06	0	4.7	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	4.87	-1.28	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-0.56	-0.87	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-2.66	-5.84	0	4.7	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.55	-2.88	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	0.83	-0.1	0	0	0	0	0	0	0	0	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	-1.68	3.08	0	5.2	0	0	0	4.5	0	4.5	0
E9.5	E95_Chondrocyte_prog	Chondrocyte_prog	2.72	3.53	0	6.4	0	0	5.9	0	5.3	5.3	0
