day	Anno	celltype	UMAP_1	UMAP_2	marker:Isl1	marker:Tbx1	up:Nkx2-5	up:Nkx2-6	up:Jun	up:Tlx1	up:Maff	up:Mef2c	up:Arid3b	up:Tsc22d1	up:Etv5	up:Sox9	up:Xbp1	up:Irx2	up:Pax6	up:Hey2	down:Lyar	down:Foxf1	down:Mycn	down:Hoxb1	down:Hoxa1	down:Gata6	down:Osr1	down:Alx1	down:Hoxb2	down:Hoxa2	down:Twist1	down:Hoxd1	down:Meox1
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	6.11	2.21	2.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2.3	3.3	2.9	2.9	0	0	2.3	3.3	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	0.31	-2.02	3.5	3.5	2	0	2	0	0	3	2	3.3	0	0	2.6	2	0	0	3.3	3.7	3.7	0	3	3	0	0	0	3	0	0	2
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-8.19	3.77	0	0	0	0	0	0	0	0	0	3.9	0	0	2.3	0	2.3	0	3.9	0	0	0	2.3	2.3	0	0	0	0	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.92	0.99	2.4	0	3.3	0	0	0	0	3.1	0	4	0	0	1.8	0	1.8	0	3.3	0	2.4	1.8	0	2.4	0	2.8	0	0	1.8	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	5.31	-0.47	2.2	0	0	0	2.2	0	0	0	2.2	3.7	0	0	0	0	0	0	4.3	4.1	4.8	2.2	2.9	2.2	2.2	2.9	2.9	2.2	0	0	2.2
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	5.42	-1.19	1.6	2.6	0	0	0	0	0	0	0	3.1	0	0	2.2	0	0	0	4.1	3.1	3.5	3.3	2.2	2.2	0	2.6	3.1	1.6	2.2	2.2	4.2
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	4.33	-2.17	0	0	2.2	0	0	0	0	3.3	0	3.3	0	0	0	0	0	0	3.7	3.5	3.3	2.9	2.9	2.2	0	0	2.2	2.2	0	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.34	2.59	0	0	0	0	2.4	0	0	0	0	3	0	0	0	0	0	0	2.4	0	4.1	0	0	3	0	0	3	0	2.4	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.05	-5.06	2.3	0	2.3	0	0	0	2.3	0	2.3	2.3	0	0	3.3	0	0	0	2.3	0	4	0	0	2.3	0	0	2.3	0	2.3	0	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.13	-5.5	1.9	0	0	0	1.9	0	0	2.9	1.9	3.4	0	0	2.6	0	0	0	2.6	2.6	3.2	0	0	2.6	2.6	0	0	0	1.9	1.9	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	1.35	2.7	0	0	0	0	3.3	0	0	0	0	2.2	0	0	2.2	0	0	0	4.3	0	3.5	2.9	0	2.9	0	2.2	3.3	2.2	2.2	2.2	0
E8	E8_Splanchnic_mesoderm	Splanchnic_mesoderm	-3.63	3.59	0	0	3	0	3	0	0	3.7	0	4.1	0	0	0	0	0	0	3.9	0	0	0	0	0	0	0	3	0	0	0	0
