day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxb1	marker:Pax6	marker:Crabp2	up:Hoxa1	up:Cenpa	up:Mis18bp1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.03	-0.71	0	0	4.9	4.1	2.5	2.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.71	-1.84	0	0	2.7	0	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.86	-0.36	0	1.8	3.7	3.7	3.8	2.4
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.58	-3.04	2.2	0	3.7	0	3.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2	-2.95	0	0	2.6	3.6	2.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.69	-0.62	0	0	4.4	3.2	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.16	-2.62	1.6	0	4.1	4.1	3.4	2.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.14	-2.29	2.4	0	3.4	3	3.6	1.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.3	-2.41	0	0	4	3.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.39	2.75	1.7	0	4.5	4.6	2.7	1.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.2	-3.6	3.4	0	2.9	3.5	3.4	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.81	-1.4	0	0	4	2.7	3.5	3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.54	-3.26	2.1	0	2.7	3.4	2.1	2.1
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.98	-2.43	1.7	0	2.7	2.3	3	1.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.29	-0.88	1.9	0	4.5	3.7	3.5	2.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.91	-2.95	0	0	2	3	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.21	3.24	0	3.2	5.3	4.5	3.2	2.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.15	-0.48	0	0	4.1	3.8	3.9	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.61	-2.09	0	0	4.1	3.4	3.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.52	0.37	2.2	0	4.5	4.1	2.8	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.86	-1.59	1.7	0	3.7	3.9	3.6	3.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.95	1.81	2.6	0	5.1	3	3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.68	-2.74	2.2	0	2.2	3.3	3.7	2.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.32	3.37	2.5	1.9	5	4.6	3.4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.98	-2.75	2.5	0	4.4	3.7	3.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.39	-1.54	0	0	3.4	1.8	3.6	1.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.5	-1.94	2	0	3.9	3.8	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.32	2.1	0	2.1	5.2	2.7	4	2.7
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.6	-3.08	0	0	2.3	2.3	3	2.3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.83	1.33	2	0	4.6	4	2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.09	-2.27	0	0	3.3	2.3	2.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.47	-1.34	0	0	3.8	4.2	3.5	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.43	0.66	0	0	4.3	3.2	3.6	3.2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.17	-4.52	2.5	0	3.8	3.2	2.5	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.68	1.64	1.8	1.8	4.8	4.4	3.4	3
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.57	3.04	2	3.3	5.5	3.9	4.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.07	-0.8	0	0	3.7	3.5	3.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.26	-4.38	0	0	4.3	2.4	2.4	1.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.23	-0.01	0	0	4.8	2.9	4.2	3.5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.47	0.48	1.9	0	2.5	1.9	3.7	1.9
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.33	-0.41	0	0	4.6	3.8	2	2.6
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	4.1	1.92	0	0	4.9	3.6	3.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.88	-2.82	1.8	0	3.1	3.8	3.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3	1.93	0	2.5	5.1	4.3	3.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.61	1.26	0	0	4.5	3.9	4	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.51	-4.25	0	0	3.7	3.1	3.1	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.3	-3.31	0	0	3.1	2.7	3.3	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0	4.95	0	0	3.3	3.3	3	2
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.86	-1.26	0	0	2.8	3.1	3.3	1.8
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.56	3.35	1.8	1.8	5	3.8	3.4	0
