day	Anno	celltype	UMAP_1	UMAP_2	Apela	Hesx1	Krt8	Tal2
E7.25	E725_Def_endoderm	Def_endoderm	6.23	1.02	0	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	1.59	2.06	0	0	3	0
E7.25	E725_Def_endoderm	Def_endoderm	1.84	0.54	0	0	4	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.18	2.03	0	2	3.6	2.6
E7.25	E725_Def_endoderm	Def_endoderm	1.42	-0.31	0	3.1	3.4	0
E7.25	E725_Def_endoderm	Def_endoderm	1.64	2.25	0	0	1.9	0
E7.25	E725_Def_endoderm	Def_endoderm	-2.47	-1.17	0	0	4.3	0
E7.25	E725_Def_endoderm	Def_endoderm	1.34	-2.4	0	2.8	2.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.82	-1.58	0	2	4.4	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.7	-0.18	0	0	3.7	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.55	0.79	0	3.5	2.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.9	1.76	0	0	2.9	0
E7.25	E725_Def_endoderm	Def_endoderm	2.09	1.36	0	0	3.3	0
E7.25	E725_Def_endoderm	Def_endoderm	-3.44	1.24	0	0	3.7	2.2
E7.25	E725_Def_endoderm	Def_endoderm	-1.67	2.74	0	0	2.1	0
E7.25	E725_Def_endoderm	Def_endoderm	0.64	-3.2	2.5	4.2	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	1.38	-2.32	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.29	3.6	0	2.6	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.41	-3.28	2.5	3.1	3.1	0
E7.25	E725_Def_endoderm	Def_endoderm	-0.69	0.37	0	0	2.6	0
E7.25	E725_Def_endoderm	Def_endoderm	3.38	-1.66	2	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	3.02	-0.82	0	0	3.8	0
E7.25	E725_Def_endoderm	Def_endoderm	3.15	-1.75	0	0	3.4	0
E7.25	E725_Def_endoderm	Def_endoderm	0.35	-1.71	2	2	4.1	0
E7.25	E725_Def_endoderm	Def_endoderm	5.82	0.9	0	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	3.64	1.13	2.4	0	3.9	0
E7.25	E725_Def_endoderm	Def_endoderm	2.75	0.66	0	0	3.5	0
E7.25	E725_Def_endoderm	Def_endoderm	-1.11	0.37	0	0	4	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.43	0.38	0	0	4.5	0
E7.25	E725_Def_endoderm	Def_endoderm	1.24	1.65	0	2.7	3	0
E7.25	E725_Def_endoderm	Def_endoderm	4.04	1.89	0	0	3.2	0
E7.25	E725_Def_endoderm	Def_endoderm	-4.76	1.73	0	2.7	3.1	0
E7.5	E75_Def_endoderm	Def_endoderm	-0.31	-0.99	0	3.6	4	0
E7.5	E75_Def_endoderm	Def_endoderm	-1.57	-1.9	2	3	4.5	0
E7.5	E75_Def_endoderm	Def_endoderm	-2.02	-2.65	2.6	0	3	0
E7.5	E75_Def_endoderm	Def_endoderm	3.3	-3.13	0	0	5.1	0
E7.5	E75_Def_endoderm	Def_endoderm	-4.54	0.86	2.5	0	4.6	0
E7.5	E75_Def_endoderm	Def_endoderm	-2.12	0.83	0	3.5	3.7	0
E7.5	E75_Def_endoderm	Def_endoderm	-1.38	-1.97	0	3.8	4.7	0
E7.5	E75_Gut	Gut	-3.89	-2.26	3.4	3.4	4.2	1.9
E7.5	E75_Def_endoderm	Def_endoderm	3.27	-3.29	0	0	5.3	0
E7.5	E75_Gut	Gut	-1.41	-3.4	3.4	2.4	5.7	0
E7.5	E75_Def_endoderm	Def_endoderm	1.63	0.43	0	0	4.3	0
E7.5	E75_Def_endoderm	Def_endoderm	4.16	-3.12	0	2.7	5	0
E7.5	E75_Gut	Gut	-0.6	-2.9	0	4.7	4.7	0
E7.5	E75_Def_endoderm	Def_endoderm	0.92	1.81	0	3.4	4.1	0
E7.5	E75_Def_endoderm	Def_endoderm	-0.59	-3.69	0	3.6	4.8	0
E7.5	E75_Def_endoderm	Def_endoderm	-3.99	-0.05	4	0	4.5	0
E7.5	E75_Def_endoderm	Def_endoderm	-4.32	0.35	3.2	0	4.7	0
E7.5	E75_Def_endoderm	Def_endoderm	0.52	-2.98	0	3.6	4.3	0
E7.5	E75_Def_endoderm	Def_endoderm	5.11	-0.99	0	0	4.9	0
E7.5	E75_Def_endoderm	Def_endoderm	-5.14	1.45	2.4	0	4.7	0
E7.5	E75_Gut	Gut	-3.05	-1.31	3.7	0	4.8	1.9
E7.5	E75_Def_endoderm	Def_endoderm	5.39	2.34	3.1	0	3.1	0
E7.5	E75_Gut	Gut	-1.18	-2.76	2.9	5.1	5.2	0
E7.5	E75_Def_endoderm	Def_endoderm	1.51	-1.54	0	2.7	4.2	0
E7.5	E75_Def_endoderm	Def_endoderm	5.4	-0.65	0	0	4.5	0
E7.5	E75_Def_endoderm	Def_endoderm	-2.31	-1.63	2.7	3.3	3.7	0
E7.5	E75_Gut	Gut	-2.58	0.46	2.9	3.6	4.2	0
E7.5	E75_Def_endoderm	Def_endoderm	3.82	-0.99	0	0	4.6	0
E7.5	E75_Def_endoderm	Def_endoderm	-3.78	0.71	1.9	0	4.5	0
E7.5	E75_Def_endoderm	Def_endoderm	4.2	-3.15	0	0	4.7	0
E7.5	E75_Def_endoderm	Def_endoderm	0.98	-2.76	0	3.6	5.3	0
E7.5	E75_Def_endoderm	Def_endoderm	-0.95	-2.84	0	4	4.1	0
E7.5	E75_Def_endoderm	Def_endoderm	-1.21	-0.19	2.9	3.9	4.3	0
E7.5	E75_Def_endoderm	Def_endoderm	0.38	-1.77	0	3.5	5.4	0
E7.5	E75_Gut	Gut	-3.71	-2.26	2.2	4.4	4.8	2.2
E7.5	E75_Def_endoderm	Def_endoderm	-0.14	-1.66	0	3.7	4.5	0
E7.5	E75_Def_endoderm	Def_endoderm	5.68	2	3	0	4.4	0
E7.5	E75_Def_endoderm	Def_endoderm	0.13	-2.91	0	2.6	3.7	2.6
E7.5	E75_Def_endoderm	Def_endoderm	5.37	0.22	0	0	4.2	0
E7.5	E75_Def_endoderm	Def_endoderm	-5.1	-0.53	3.5	0	5.1	2
E7.5	E75_Def_endoderm	Def_endoderm	-4.04	-1.37	3.2	0	4.9	0
E7.5	E75_Gut	Gut	-2.64	0.38	3.7	3.8	4.6	1.6
E7.5	E75_Gut	Gut	-3.82	2.76	3.5	3.7	4.9	0
E7.5	E75_Def_endoderm	Def_endoderm	2.03	-2.2	0	0	4.4	0
E7.5	E75_Def_endoderm	Def_endoderm	0.8	-0.05	2	0	3.8	0
E7.5	E75_Def_endoderm	Def_endoderm	-5.46	1.35	3.4	0	5	0
E7.5	E75_Def_endoderm	Def_endoderm	5.55	0.16	0	0	4.5	0
E7.5	E75_Def_endoderm	Def_endoderm	-4.85	0.66	4.2	0	4.5	0
E7.5	E75_Gut	Gut	-3.01	-3.29	0	3	5.6	2.4
E7.5	E75_Gut	Gut	-4.01	-2.06	3.2	3.4	4.4	2.6
E7.5	E75_Def_endoderm	Def_endoderm	-2.84	1.55	3.2	0	4.8	0
E7.5	E75_Def_endoderm	Def_endoderm	3.12	-1.55	0	2.4	5.3	0
E7.5	E75_Def_endoderm	Def_endoderm	-0.79	-1.54	0	2.9	4	0
E7.5	E75_Def_endoderm	Def_endoderm	1.13	-3.12	2.3	2.9	5.5	0
E7.5	E75_Def_endoderm	Def_endoderm	-4.44	3.5	2.6	0	5.1	0
E7.5	E75_Def_endoderm	Def_endoderm	4.83	-1.22	2.1	0	4.9	0
E7.5	E75_Def_endoderm	Def_endoderm	-0.03	-2.53	2.4	4.3	5.3	0
E7.5	E75_Def_endoderm	Def_endoderm	3.26	-1.97	0	2.6	5.1	0
E7.5	E75_Gut	Gut	-1.07	-1.71	3.3	3.8	4.9	2.9
E7.5	E75_Def_endoderm	Def_endoderm	-2.08	-0.07	1.7	0	4.7	0
E7.5	E75_Def_endoderm	Def_endoderm	-1.01	-1.26	0	3.9	4.5	0
E7.5	E75_Def_endoderm	Def_endoderm	-4.76	-0.42	3.7	2.4	4.6	0
E7.5	E75_Def_endoderm	Def_endoderm	4.39	3.01	3	0	0	0
