day	Anno	celltype	UMAP_1	UMAP_2	Abcb4	Bcl11a	Etv6	Hba-x	Hbb-bs	Kel	Myb	Nr3c1	Runx1	Slc4a1	Snca	Tspan8
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.63	-3.21	0	0	4.9	6.3	0	4.9	0	0	0	4.9	6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.15	-2.86	0	0	0	0	0	5.3	0	0	0	6.4	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.48	-0.06	0	0	3.9	6.6	0	5.5	0	0	0	5	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.75	-4.17	0	0	0	4.8	0	4.8	0	0	4.8	0	6.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.99	-3.03	0	0	0	5.8	0	5.8	0	0	0	6.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.4	-1.63	0	0	0	7.4	0	0	0	0	0	7	5.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.08	-0.83	0	0	0	6.8	0	0	0	0	0	5.5	5.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.71	3.49	0	0	0	7.4	0	0	0	0	5.3	6.4	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.54	-0.27	0	0	0	7.4	0	4.9	0	0	0	5.6	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.02	-1.8	0	0	0	6.5	0	4.7	0	0	0	6.5	5.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-6.34	-2.71	0	0	4.5	6.9	0	0	0	0	4.5	4.5	4.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.19	-3.43	0	0	0	5.3	0	5.7	0	0	0	4.6	5.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.39	-0.04	0	0	4.5	7.5	0	4.5	0	0	0	5.6	4.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.46	4.66	0	0	0	8	0	0	0	0	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.45	0.24	0	0	0	7.7	0	6.6	0	0	0	4.8	4.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.15	-0.17	0	0	0	5.2	0	4.5	0	0	0	5.9	6.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.31	1.64	0	0	0	8.2	0	4.1	0	0	0	6.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.31	4.1	0	0	0	5.9	0	5.2	0	0	0	6.6	5.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	2.93	4.54	0	0	0	8.8	0	0	0	0	0	6.4	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.43	2.53	0	0	4.5	6.1	0	5.2	0	0	0	5.2	5.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.86	-1.59	0	0	0	6.9	0	4.4	0	0	0	6	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.74	-2.06	0	0	0	0	0	0	0	0	0	6	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.24	-3.36	0	0	0	6.1	0	0	0	0	0	5	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.24	-2.83	0	0	0	5.9	0	5.2	0	0	0	0	6.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-5.62	-2.72	0	0	0	7.2	0	0	0	0	0	5.3	6.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.31	-1.47	0	0	0	6.3	0	0	0	0	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.75	-2.66	0	0	0	7.5	0	0	0	0	0	6.1	5.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.64	-1.96	0	0	0	6.1	0	4.1	0	0	0	5.8	4.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.54	3.01	0	0	0	6.7	0	4.6	0	0	0	5	3.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.76	0.52	0	0	0	7.5	0	3.8	0	0	0	6.3	5.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.17	-1.75	0	0	0	6.6	0	0	0	0	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.66	-0.54	0	0	0	6.6	0	5.2	0	0	0	5.2	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.48	-3.37	0	0	0	6.9	0	0	0	0	5.2	5.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.96	-1.05	0	0	0	5.8	0	5.1	0	0	0	5.5	4.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.88	-3.94	0	0	0	6.6	0	5.2	0	0	0	5.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.72	-0.2	0	0	0	7	0	6	0	0	0	6.9	4.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.74	-1.19	0	0	0	6	0	5.5	0	0	5.1	6.4	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.36	-4.49	0	0	0	5.5	0	5.5	0	0	0	5.5	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.89	-0.94	0	0	0	7.4	0	0	0	0	0	5.1	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.69	-2.11	0	0	0	4.7	0	5.4	0	0	0	4.7	5.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.9	-3.45	0	0	0	5.7	0	5	0	0	0	5	6.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.33	4.22	0	0	4.8	8.1	0	0	0	0	0	5.9	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.17	-2.47	0	0	0	6.2	0	0	0	0	0	5.9	6.6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.56	-0.39	0	0	0	6.9	0	5.3	0	0	0	6.4	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	4.23	3.85	0	0	5.4	8.2	0	0	0	0	0	6.5	5.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.33	0.45	0	0	0	8	0	0	0	0	0	5	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.29	-2.31	0	0	0	7.1	0	4.8	0	0	0	0	5.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.76	5.09	0	0	0	7.8	6.2	0	0	0	0	6.4	5.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.56	-2.77	0	0	0	7.1	0	4.8	0	0	0	4.8	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.53	0.31	0	0	0	7.5	4.4	5.1	0	0	0	6.4	5.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.6	1.1	0	0	0	6.9	0	4.3	0	0	0	5	4.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.27	-2.46	0	0	0	6.2	0	0	0	0	0	5.5	6.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.88	0.46	0	0	0	7.3	0	0	0	0	4.4	6.3	5.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.34	4.43	0	0	0	6.5	0	5.4	0	0	0	0	5.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.64	1.76	0	0	0	6.5	0	0	0	0	0	5.1	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.14	0.21	0	0	0	7.2	0	5.5	0	0	0	4.8	5.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.69	-3.23	0	0	4.6	7.3	0	0	0	0	0	5.3	6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.27	1.75	0	0	0	6.6	0	4.8	0	0	0	5.9	4.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.6	4.18	0	0	0	5.1	0	0	0	0	0	0	6.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.6	-3.3	0	0	0	5.8	0	0	0	0	0	0	5.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.61	-0.05	0	0	0	7.1	0	5.8	0	0	0	6.1	5.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.79	-3.64	0	0	0	0	0	6.1	0	0	0	0	5.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.55	-0.83	0	0	0	7.7	0	3.9	0	0	0	5.5	5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.84	-2.23	0	0	0	7.1	0	5.6	0	0	0	5.9	5.6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.78	-1.94	0	0	0	7.6	0	5.5	0	0	0	6.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.77	-3.32	0	0	0	6.8	0	0	0	0	0	6.5	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.51	-0.65	0	0	0	7.7	0	0	0	0	0	5.2	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.97	-3.45	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.4	4.46	0	0	4.1	8.5	0	6	0	0	0	5.7	4.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.13	-2.9	0	0	0	7.2	0	5.2	0	0	0	6.6	6.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.24	-1.61	0	0	0	6.2	0	4.2	0	0	0	5.3	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.89	4.34	0	0	0	8.1	0	0	0	0	0	6.2	5.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.91	-0.1	0	0	0	5	0	4.6	0	0	3.9	6.1	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.57	-2.72	0	0	5.1	5.8	0	6.2	0	0	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.62	-3.61	0	0	0	6.8	0	6.1	0	0	0	5.4	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.09	0.26	0	0	0	7.6	0	4.5	0	0	0	6	4.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.34	-1.65	0	0	0	4.9	0	4.9	0	0	0	6	5.6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.21	1.24	0	0	0	7.6	0	6.1	0	0	0	6.3	5.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.77	2	0	0	0	8.1	0	4.1	0	0	4.8	6.4	5.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.77	-1.9	0	0	0	6.4	0	0	0	0	4.8	4.8	4.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.07	-4.03	0	0	0	6.5	0	0	0	0	0	0	5.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.36	0.63	0	0	0	7.1	0	0	0	0	4	6.2	6	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.89	-2.32	0	0	0	6.2	0	5.1	0	0	0	5.1	6.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	1.09	4.21	0	0	6	7.8	0	0	0	0	0	6.4	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.39	-0.43	0	0	0	6.8	0	5.4	0	0	0	5.9	6.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.89	-3.33	0	0	0	6.7	0	0	0	0	0	5.1	6.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.94	-3.35	0	0	0	5.2	0	0	0	0	0	6	4.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-4.53	-1.62	0	0	0	6.5	0	0	0	0	0	4.2	5.3	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.2	-0.02	0	0	0	7.7	0	4.9	0	0	0	0	4.9	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.52	-1.6	0	0	0	4.7	0	4.7	0	0	0	4.7	5.8	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-1.62	-2.8	0	0	0	5	0	5	0	0	0	5	5.7	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-2.07	0.12	0	0	4.6	8	0	0	0	0	0	6.2	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	0.34	-2.99	0	0	0	6.3	0	0	0	0	0	5.9	5.2	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.84	-1.35	0	0	0	7.5	0	0	0	0	0	5.8	5.1	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	3.48	3.06	0	0	0	7.7	0	0	0	0	0	0	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.87	-1.27	0	0	0	6.7	0	5.4	0	0	0	5.5	4.4	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.47	-2.02	0	0	0	0	0	6.6	0	0	0	5.5	0	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-3.48	1.67	0	0	3.8	7.5	0	0	0	0	0	5.9	4.5	0
E9.5	E95_Primitive_erythroid	Primitive_erythroid	-0.58	-2.26	0	0	0	7.3	0	5.3	0	0	0	0	5.3	0
