day	Anno	celltype	UMAP_1	UMAP_2	E2f4	Hba-a1	Hba-x	Hbb-bh1	Klf1	Klf3	Thra	Ybx3
E7.5	E75_Blood_prog	Blood_prog	6.49	1.78	2	0	0	3	2	0	0	3
E7.5	E75_Blood_prog	Blood_prog	4.95	1.72	2.3	0	0	2.3	0	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	-0.12	0.33	3.2	0	0	5.3	0	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	7.02	-1.02	2.9	0	0	0	0	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	4.2	2.47	2.7	0	0	2.1	0	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	4.05	0.43	2.1	0	0	0	0	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	5.76	-2.83	2.8	0	0	3.5	0	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	-5.43	-1.36	2.7	0	0	5	2.7	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	6.11	1.81	2.8	0	0	0	0	0	2.2	2.2
E7.5	E75_Blood_prog	Blood_prog	1.89	1.12	0	0	0	4.6	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-2.8	-3.25	2.2	0	0	0	3.5	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	4.02	0.14	3.8	0	0	2.8	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	3.07	-0.02	2.3	0	0	0	2.3	0	0	0
E7.5	E75_Blood_prog	Blood_prog	4.5	1.53	1.9	0	0	0	1.9	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-2.13	-0.49	2.5	0	0	4.6	2.9	0	0	1.9
E7.5	E75_Blood_prog	Blood_prog	-2.93	-1.68	2.5	0	0	6	2.8	0	1.9	1.9
E7.5	E75_Blood_prog	Blood_prog	0.1	1.96	2.4	0	0	0	3	0	2.4	2.4
E7.5	E75_Blood_prog	Blood_prog	-6.17	-2.19	3.3	0	0	2	3.3	0	0	2
E7.5	E75_Blood_prog	Blood_prog	-4.43	-0.43	3.7	2.5	3.9	6.3	3.3	0	0	0
E7.5	E75_Blood_prog	Blood_prog	6.5	0.87	1.8	0	0	0	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	4.72	-0.37	0	0	0	2.3	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-4.9	-0.78	2	0	0	3.9	0	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	4.56	-3.18	3.3	2	0	3.3	2	0	0	3.3
E7.5	E75_Blood_prog	Blood_prog	7.07	-0.62	0	0	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	3.62	-1.48	0	0	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-3.36	0.93	2.1	0	0	5	2.7	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	-5.79	1.64	0	0	0	5.9	3.9	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	3.41	0.72	3.2	0	0	0	0	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	3.13	1.63	2.8	0	0	2.2	0	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	4.36	-1.76	3.3	0	0	0	0	0	0	3.3
E7.5	E75_Blood_prog	Blood_prog	-1.41	1.66	2.1	0	0	0	2.1	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	1.56	-1.47	2.9	0	0	0	2.7	1.7	0	2.3
E7.5	E75_Blood_prog	Blood_prog	2.41	4.63	0	0	0	3.6	0	0	0	3
E7.5	E75_Blood_prog	Blood_prog	-2.17	1	2.9	0	0	4.8	0	0	0	3.5
E7.5	E75_Blood_prog	Blood_prog	-6.08	-0.04	2.4	0	0	4.1	1.8	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	0.87	1.85	2.8	0	0	0	3.2	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	-3.23	-2.99	2.7	0	0	0	2.7	0	1.7	0
E7.5	E75_Blood_prog	Blood_prog	-3.48	-2.3	2.4	0	0	0	3.1	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	-3.39	0.56	0	0	0	2.9	3.5	0	0	0
E7.5	E75_Blood_prog	Blood_prog	0.21	2.12	2.4	0	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-0.56	1.34	2.1	0	0	4	2.1	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-3.68	-2.77	0	1.7	2.3	1.7	3.2	0	0	1.7
E7.5	E75_Blood_prog	Blood_prog	-2.92	-0.61	3.4	0	0	5.3	2.1	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	1	1.2	2.9	0	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	6.36	0.25	0	0	0	4.4	0	0	0	2.6
E7.5	E75_Blood_prog	Blood_prog	3.75	1.92	3.6	0	0	0	0	0	0	3.3
E7.5	E75_Blood_prog	Blood_prog	-0.22	-1.42	1.9	0	0	0	1.9	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	-2.96	1.54	3.5	0	0	0	3.5	0	2	0
E7.5	E75_Blood_prog	Blood_prog	-2.72	-1.29	2.9	0	0	5.3	3.8	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	-4.08	-0.04	2.5	0	1.9	4.9	2.5	0	0	2.9
E7.5	E75_Blood_prog	Blood_prog	-4.82	-1.9	2	0	0	3.7	3	0	0	0
E7.5	E75_Blood_prog	Blood_prog	7.97	1.84	3	0	0	0	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	5.5	2.58	3.9	0	0	0	2.2	2.2	0	0
E7.5	E75_Blood_prog	Blood_prog	-1.51	1.06	2.1	0	0	2.7	3.8	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	6.73	0.73	2.4	0	0	0	2.4	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	2.88	1.53	2.9	0	0	3.2	0	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	-1.1	1.2	2.2	0	0	5.5	3.2	0	0	3.2
E7.5	E75_Blood_prog	Blood_prog	7.27	0.53	1.7	0	0	1.7	0	0	0	2.2
E7.5	E75_Blood_prog	Blood_prog	6.13	-2.1	2.7	0	0	3.9	0	0	0	2.7
E7.5	E75_Blood_prog	Blood_prog	-2.27	-1.84	2.8	0	0	2.8	2.8	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-3.98	-2.55	0	0	0	3.8	3.3	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	3.54	-3.14	2.9	0	0	4	1.9	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	-2.93	-1.64	2.5	0	0	1.8	2.8	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	5.76	1.3	2.6	0	0	0	0	0	0	2
E7.5	E75_Blood_prog	Blood_prog	-2.41	1.57	2.6	0	0	4.9	2.9	0	0	3.4
E7.5	E75_Blood_prog	Blood_prog	-2.32	0.49	3.1	2.1	0	5.4	2.1	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	-0.71	0.43	1.8	0	0	3.4	1.8	0	0	3
E7.5	E75_Blood_prog	Blood_prog	5.36	1.09	0	0	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-0.95	1.03	3	0	0	0	3.4	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-4.32	-2.37	3	0	0	4.4	3.3	0	0	3
E7.5	E75_Blood_prog	Blood_prog	3.48	0.07	2.3	0	0	5.6	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	4.45	1.95	2.5	0	0	0	0	0	0	2.5
E7.5	E75_Blood_prog	Blood_prog	-0.64	0.24	2	0	0	3	2	0	0	2.6
E7.5	E75_Blood_prog	Blood_prog	-3.73	-2.32	3	0	0	0	3	0	0	2
E7.5	E75_Blood_prog	Blood_prog	-4.52	-0.84	2.1	3.1	3.8	6	3.1	0	0	2.1
E7.5	E75_Blood_prog	Blood_prog	3.96	2.08	0	0	0	0	0	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	3.84	2.43	2.2	0	0	0	0	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	4.81	0.72	3.2	0	0	2.7	0	0	0	2.4
E7.5	E75_Blood_prog	Blood_prog	2.91	0.53	0	0	0	3.7	2.2	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	5.76	-0.16	3.2	0	0	0	0	0	0	3
E7.5	E75_Blood_prog	Blood_prog	-5.24	-1.87	1.8	1.8	0	4.7	1.8	0	0	1.8
E7.5	E75_Blood_prog	Blood_prog	-3.64	-3.21	2.7	0	0	0	3.2	0	0	3.3
E7.5	E75_Blood_prog	Blood_prog	5.53	2.35	2.3	0	0	3.3	0	0	0	2.3
E7.5	E75_Blood_prog	Blood_prog	4.85	1.07	2.4	0	0	0	0	0	0	0
E7.5	E75_Blood_prog	Blood_prog	5.27	3.55	0	0	0	0	2.8	0	0	2.8
E7.5	E75_Blood_prog	Blood_prog	4.38	-0.04	3.6	0	0	2	0	0	0	3
E7.5	E75_Blood_prog	Blood_prog	6.65	2.16	2	0	0	0	0	0	2	2.6
E7.5	E75_Blood_prog	Blood_prog	-5.75	1.15	2.5	2.5	3.1	6.2	3.5	0	0	0
E7.5	E75_Blood_prog	Blood_prog	-3.4	-2.79	2.7	0	0	0	2.1	0	0	3.1
