day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hoxb9	up:Nkx1-2	up:Sox2	up:Nr6a1	up:Foxb1	up:Lyar	down:T	down:Tbx6	down:Mixl1	down:Snai1	down:Hes7	down:Hand1	down:Klf5	down:Mesp1	down:Msx2
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-4.32	-3.61	3.7	2.1	2.7	2.7	0	2.1	2.1	0	4.1	0	0	0	0	0	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-1.22	-0.28	4.2	2.6	2.6	2.6	3.3	0	0	0	4.9	4	0	0	0	2.6	0	0	2.6	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-3.67	0.76	2.2	2.2	3.2	3.2	3.2	2.2	2.2	0	4.3	3.7	0	0	0	3.2	2.2	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-4.44	-0.08	3.4	4	2.7	2.7	2.7	2.7	3.4	0	4.4	2.7	0	0	0	2.7	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	2.11	-3.48	4.4	3.4	3.6	4.2	3.8	2.7	3.4	2.1	4.6	0	0	0	0	2.7	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-2.01	0.68	4	3.1	3.8	2.1	3.6	0	3.4	2.1	4.6	3.1	2.1	2.1	0	0	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	0.4	-2.19	4.2	2.3	3	3	0	2.3	3.3	2.3	3.8	0	0	0	0	0	0	0	0	0
E8.25	E825_Paraxial_mesoderm_C	Paraxial_mesoderm_C	5.1	2.9	4.2	0	0	2.8	0	0	0	0	3.8	3.6	0	0	0	2.8	2.8	2.1	4	3.1
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-2.17	-4.3	3.9	2.6	3.5	4.1	3.6	2.6	2	2.6	4.5	0	0	0	0	2	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	2.29	-1.93	4.5	3.6	2.4	3.3	2.4	0	3.8	3.1	4.2	3.1	1.8	0	0	2.8	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	1.4	-4.17	4.3	2.8	3.4	3.8	3.8	0	3.8	0	4.1	0	0	0	0	0	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	3.63	-0.67	3.3	3.7	0	3.3	2.7	2	3.3	3	4.2	4.5	2	0	0	3.3	0	0	2	0
E8.25	E825_Paraxial_mesoderm_C	Paraxial_mesoderm_C	0.17	3.28	4.1	2.4	0	2.4	2.4	0	0	0	3.9	4.3	3	3	0	3.4	0	0	0	0
E8.25	E825_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.93	1.38	3	2.6	0	2	3	0	3	0	4.3	2	0	0	0	2.6	0	3.3	0	3.3
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	4.12	0.4	4.4	3.9	0	3.1	3.1	0	3.7	2.4	4.1	3.6	0	0	0	4	0	0	1.8	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	0.93	0.67	4.4	0	2.7	3.6	2.1	2.1	2.7	0	3.6	3.4	0	0	0	2.7	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	0.9	-2.87	3.3	3.1	3.9	3.5	2.7	2.7	3.9	2	4.1	2.7	0	0	2	2	0	0	0	0
E8.25	E825_Paraxial_mesoderm_C	Paraxial_mesoderm_C	4.39	2.6	3.5	0	0	2	2	0	2.6	0	4.1	2	0	0	0	0	2	0	0	3.3
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-3.01	-0.05	4.3	2.4	3.1	3.5	3.8	3.1	0	3.5	4.9	0	0	0	0	0	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-5.22	-2.07	3.7	3	4.1	2.4	2.4	3	3	0	4.1	0	0	0	0	2.4	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-0.66	-2.46	2.6	3	2.6	2	3	0	3	2.6	4.1	2	0	0	0	3.3	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-1.47	0.34	3.6	0	3.4	3.4	3.9	0	0	0	4.5	2.3	0	0	2.3	3.6	0	2.3	0	2.3
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	1.25	4.2	4.2	3.3	0	2.3	3.3	0	0	0	4.4	4.1	0	0	0	3.8	0	0	2.3	2.3
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-1.95	-2.99	3.8	2.8	3.4	2.1	3.6	3.1	2.8	0	4.7	0	0	0	0	2.1	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	1.36	-1.89	3.7	2.9	2.5	3.3	3.1	0	2.9	2.5	4.5	2.5	0	0	0	3.3	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	1.13	-4.61	3.6	2.5	2.9	4.2	2.9	2.9	1.9	3.6	4.6	0	0	0	0	1.9	0	0	0	0
E8.25	E825_Neuromesodermal_progenitors	Neuromesodermal_progenitors	-4.53	-3.12	3.5	0	4.1	0	3.8	2.9	2.9	0	4.5	0	0	0	0	0	0	0	0	0
