day	Anno	celltype	UMAP_1	UMAP_2	Alx1	Arid3b	Foxc2	Gata5	Irx1	Irx5	Mef2c	Myl4	Myl7	Nkx2-5	Pax3	Tbx1	Tcf15	Tnnt2	Tsc22d1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.34	4.94	4.6	1.9	0	0	0	0	0	0	3.5	0	0	0	1.9	1.9	2.8
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	4.3	-2.18	0	0	0	0	0	0	0	0	0	0	2.4	0	5.1	0	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-0.33	-1.11	3.4	0	2.3	2.3	0	2.3	3	0	3.4	3.4	0	0	0	0	2.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	0.19	3.93	2.9	2.3	0	0	0	0	0	0	2.9	0	0	2.3	3.3	0	2.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.46	1.53	0	2.9	0	0	0	0	0	0	2.9	0	0	0	3.5	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.56	1.4	0	0	2.5	0	0	4	0	0	2.5	0	0	0	4.3	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-1.85	-2.76	3.6	0	1.9	0	1.9	0	0	2.9	3.9	0	0	0	2.5	1.9	1.9
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.57	-1.99	0	0	3.5	0	0	1.8	0	0	0	0	0	0	3.8	0	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.73	2.98	3.5	0	2.4	0	0	0	0	0	3.1	0	0	3.1	4.1	0	2.4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	5.79	-2.04	0	0	2.5	0	0	2.5	0	0	0	0	0	0	4.2	0	0
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-6.37	-1.2	0	0	0	3.2	0	0	4.2	2.2	4	2.8	0	0	0	0	2.2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.86	1.56	2	0	0	0	0	2.7	0	0	3.3	0	0	0	4.7	0	3.1
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.55	3.02	3.2	0	0	0	0	2.6	0	0	4.6	0	0	0	0	0	3.2
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	0.23	3.95	4.2	0	2.6	0	0	2.6	2.6	0	3.7	0	0	0	0	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	1.33	3.35	4.7	2.3	0	0	2.3	2.3	0	0	4.1	0	0	0	0	0	0
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	2.63	-1.48	1.9	2.9	1.9	0	1.9	3.5	0	0	2.5	0	0	0	2.5	0	3.7
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.98	-1.52	0	2.4	3	0	0	0	0	0	2.4	0	0	0	4.2	0	3.4
E7.75	E775_Splanchnic_mesoderm	Splanchnic_mesoderm	-4.04	-1.08	3.1	0	0	0	0	0	0	0	3.1	0	0	0	0	0	2.4
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	3.52	0.5	0	0	3.3	0	0	3.3	0	0	0	0	0	0	4.7	0	3.3
E7.75	E775_Paraxial_mesoderm_A	Paraxial_mesoderm_A	-0.02	0.2	2.9	0	0	0	0	1.9	0	0	4.4	0	0	0	0	0	0
