day	Anno	celltype	UMAP_1	UMAP_2	marker:Amot	marker:Sfrp1	marker:Sfrp5	marker:Hhex	marker:Lefty1	up:Lhx1	up:Eomes
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.9	1.32	4.9	3.5	4.6	1.9	0	3.2	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.59	1.34	5.1	4.1	4.8	3.5	4.5	2.9	2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.93	-1.56	3.4	1.7	1.8	1.7	0	0.7	1.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.93	1.06	3.1	0.6	1.2	0.7	0	0.2	1.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.46	-2.64	4.7	2.9	3.4	2	0	1.8	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.57	-2.2	4.9	2.9	3.6	2	2.9	3.6	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.37	-2.01	4.5	3	3	2.3	0.9	3.3	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.4	0.26	5.7	4.3	4	3.5	2.1	4	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.15	-0.18	4.9	3.8	3.6	1.9	0	2.4	3.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.19	-1.71	3.2	2	2.3	1.4	2	1.5	1.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.76	-2.08	5.1	3.8	3.1	2.8	1.4	3.1	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.97	0.87	4.9	4.1	4.3	3.4	5.2	2.8	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.02	-2.22	4.5	4.3	4.3	2.5	0.1	2.9	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.73	0.73	4.5	1.3	2.8	0.5	1.2	1.1	2.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.35	-0.81	3.9	0	1.2	1.1	0.1	1.5	2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.63	-2.4	4.2	3.2	3.4	0.5	0.9	2.9	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.3	-1.97	3.8	2	2.9	0.9	0	1.7	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.9	0.96	4.9	3.6	4.2	0.5	3.8	3.3	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.43	-1.55	4.6	1.8	3.3	1.2	0.1	3.1	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.04	-2.14	4.1	0	2.6	0	0	0.9	2.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-1.92	-2.22	4.2	3	2.8	0.8	0	3.2	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.13	0.82	4.9	3.9	4.1	2.8	4.6	3.6	2.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.46	0.6	5.2	3.6	3.3	3.3	4	2.4	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.5	-1.84	4.1	2.5	1.8	0	0	0.5	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.39	0.76	4.7	3.9	4.2	2	4.5	3.6	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.36	-1.57	3.2	0	2.3	0.8	0	1.8	1.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	2.17	-1.19	3.2	0	3.2	0	0	0	2.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.14	-0.88	4.6	3.6	3.3	1.9	0.4	3.1	3.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-3.98	-1.21	5.3	4	3.4	2.6	3.1	3.9	3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.13	0.58	2.2	2.8	2.2	0.5	0.1	3.6	3.7
E5.25	E525_Visceral_endoderm	Visceral_endoderm	4.63	-1.08	3.2	1.3	0	0	0	0	0.9
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.45	-0.29	6.3	4.7	4.7	3.6	3.8	4.2	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.4	0.33	4.6	1.6	1.2	0	0.3	1.2	2.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-2.82	-1.62	5.1	3.8	4.3	0.9	1.1	3.5	3.2
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.79	-0.34	4.6	1.4	0.6	1.4	0	0.4	2.6
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.88	0.44	4	1.3	2.2	1.5	0	0	1.5
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-5.07	-0.21	5.7	4.4	3.7	2.5	2	3.6	3.4
E5.25	E525_Visceral_endoderm	Visceral_endoderm	3.23	0.43	3.1	0	0	1.8	0	1.5	1.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	0.02	2.29	3.9	2.3	2.8	1.2	0.8	3.1	3.1
E5.25	E525_Visceral_endoderm	Visceral_endoderm	1.45	1.07	4.4	1.9	0.9	0	0.1	0.5	1.8
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-4.98	-1.18	5.5	4.2	3.4	3.2	2.7	2.7	3.3
E5.25	E525_Visceral_endoderm	Visceral_endoderm	-0.43	-1.39	3.9	1	4.1	1.5	0	1.9	2
