day	Anno	celltype	UMAP_1	UMAP_2	marker:Apela	marker:Krt8	up:Hesx1	up:Tal2	down:Pou5f1	down:Eomes	down:Lhx1	down:Sp5
E7.5	E75_Gut	Gut	-3.95	-1.11	1.9	3.8	0	0	2.5	1.9	0	3.2
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.4	-0.55	0	3.6	0	0	3.6	0	4	4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.01	-4.41	2.4	4.3	0	0	3.4	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.76	-3.7	3.3	4.5	3.5	2.2	2.2	0	0	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.75	-1.44	0	2.3	0	0	3	0	3.6	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.44	-0.64	2.5	4.4	2.5	0	3.9	2.9	0	2.5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.69	-0.73	4	5.2	0	0	3.4	0	0	3.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.53	-4.26	0	4	4.6	0	0	0	0	0
E7.5	E75_Gut	Gut	-1.81	-3.82	3.1	4.7	3.4	0	0	0	0	2.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	2.09	2.62	0	2	0	0	4.1	2.6	3.3	3.5
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.96	-0.03	3.4	4.7	0	0	2.9	0	0	1.6
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	3.46	-0.76	2.3	3.1	0	0	4.4	2.7	3.6	3.6
E7.5	E75_Gut	Gut	-2.21	-2.37	4.4	5.2	3.9	0	3	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.52	4.66	1.7	2.9	0	0	4	0	1.2	2.3
E7.5	E75_Definitive_endoderm	Definitive_endoderm	2.01	5.99	3.2	3.6	0	0	4.7	2.6	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-5.67	0.08	3	4.6	0	0	2	0	0	2
E7.5	E75_Gut	Gut	-0.17	-1.81	0	4.9	2.9	0	3.8	0	2.3	3.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.44	-3	4.6	5.1	0	0	0	0	0	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.69	-2.96	0	4.2	0	0	3.2	0	3.8	0
E7.5	E75_Gut	Gut	-2.96	-1.8	2.2	3.7	2.2	0	3.7	0	0	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-2.14	-4.01	1.6	3.8	3	0	3.2	0	0	1.6
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.41	-1.39	2	4.3	3.8	2	2	0	2.6	0
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	4	0.94	2.2	3.2	0	0	4.4	3.7	2.2	3.2
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.98	3.99	0	5.3	0	0	3.6	0	2.3	3.4
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-4.25	-3.78	4.1	4.6	0	0	2.2	0	0	3.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.43	-3.89	0	3.9	0	0	3.4	0	2.3	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-0.62	2.25	0	4.2	0	0	3.9	1.4	2	3.4
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.66	-0.73	1.6	3.7	0	0	4.3	2.8	3	3.8
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.47	3.34	0	5.6	0	0	3.7	0	2.4	3.7
E7.5	E75_Definitive_endoderm	Definitive_endoderm	-1.51	4.46	1.4	3.1	0	0	4.1	1.4	0	2.3
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	1.41	-1.35	0	3.6	0	0	4.4	2.3	3.8	3.3
E7.5	E75_Gut	Gut	-0.33	2.47	0	4.8	0	0	0	2.5	2.5	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0	4.08	0	4.8	0	0	3.8	3.1	3.1	4.2
E7.5	E75_Anterior_primitive_streak	Anterior_primitive_streak	-2.71	2.32	0	3.3	0	0	4.1	1.8	2.4	3.5
E7.5	E75_Gut	Gut	-1.65	-2.62	2.6	5.7	4.1	0	0	0	2.6	0
E7.5	E75_Definitive_endoderm	Definitive_endoderm	0.11	0.35	0	4.4	0	0	3.9	1.9	4.5	3.2
