day	Anno	celltype	UMAP_1	UMAP_2	marker:Runx1	marker:Hapln1	marker:Fli1	up:Hoxb2	up:Gata1	up:Gfi1b	up:Lyl1	up:Hoxb4	up:Runx1	up:Ascl2	up:Hoxb5	up:Emx2	up:Bcl11b	up:Hoxb6	down:Etv2	down:Pou5f1	down:Hes1	down:Msx1	down:E2f4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.23	-1.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.3	2.6	3.2	0	2.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.65	1.05	0	3.6	2.6	3.9	2.6	3.2	3.6	0	0	0	2.6	2.6	2.6	2.6	0	0	0	0	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	4.21	-2.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	2.8	0	2.2	3.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.75	-0.13	0	0	0	0	2.8	0	0	0	0	0	0	0	2.8	0	0	2.8	0	0	3.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.72	-1.46	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	5	3	2.4	2.4	3.4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-1.63	0.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4	3.7	2.3	2.3	2.3
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-2.26	-0.14	0	2.7	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	3.75	-1.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4	3.1	3.9	0	2.4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.99	0.5	3.4	2.7	3.4	2.1	3.1	0	2.1	0	3.4	0	2.7	2.1	0	2.1	2.1	0	0	0	2.1
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.51	2.35	3	2	3	2	3.7	3	0	2.7	3	0	0	3	0	0	2	2	0	0	2.7
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	2.72	1.05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6	0	3	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.44	0.93	2.1	3.4	2.1	0	3.7	3.4	0	0	2.1	2.1	0	0	0	0	2.8	2.1	0	0	3.4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5.32	2.5	2.2	4	2.8	2.2	2.8	3.9	2.2	0	2.2	0	0	0	0	0	0	2.2	0	0	2.2
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	0.45	-2.99	0	2.4	3.1	0	0	0	0	0	0	0	0	0	0	0	4.3	2.4	2.4	0	4.1
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.79	-0.4	2.8	0	0	0	0	2.8	0	0	2.8	2.8	0	0	0	0	0	0	0	0	2.8
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	0.25	0.56	0	0	2.5	0	0	0	0	0	0	0	0	0	0	0	4.2	2.5	3.2	2.5	3.6
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	5.54	-0.31	2.5	0	0	3.2	0	0	0	0	2.5	0	0	0	0	0	4.1	0	3.6	0	2.5
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.35	-3.11	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	4.9	3.4	2.4	2.4	3.1
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-5	0.77	0	0	0	0	3.3	3.6	0	0	0	2.3	0	0	0	0	2.3	0	0	0	2.9
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	1.18	2.73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.3	0	0	2.6	3.9
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.73	-2.39	3.3	2.6	2.6	3.9	0	0	0	0	3.3	0	2.6	0	0	0	3.3	0	3.3	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.17	3.06	0	3	0	0	4.2	0	0	0	0	0	0	0	0	0	3	0	0	0	0
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-4.85	2.34	2.3	3.9	0	0	4.1	4.1	0	0	2.3	0	0	0	0	0	2.3	0	0	0	3.4
E7	E7_Hematoendothelial_progenitors	Hematoendothelial_progenitors	-3.56	-2.14	3.4	2.3	2.3	3	0	3	0	0	3.4	0	0	0	0	0	2.3	0	0	0	3.7
