day	Anno	celltype	UMAP_1	UMAP_2	marker:Rorb	marker:Trpm3	marker:Epha6	up:Tox	up:Casz1	up:Vsx2	up:Mecom	up:Pou2f2	up:Meis1	up:Dach1	up:Zbtb16	up:Myb	up:Plagl1	up:Zfpm2	up:Npas3	up:Rax	up:Baz2b	up:Zfhx4	up:Zfp532	up:Tbx3	up:Zeb2	down:Mitf	down:Sox5	down:Pax2	down:Sox6	down:Pbx3	down:Otx2	down:Prdm16	down:Meis2	down:Nr2f2
E10.5	E105_Retinal_primordium	Retinal_primordium	1.47	-2.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.2	0	4.2	0	4.2	0	5.3	4.2	0	5.3	0	5.6	0	0	5.3	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-1.15	0.65	5.4	4.7	5.8	5.4	0	0	5.4	0	6.1	6.5	0	0	0	4.7	4.7	0	0	0	4.7	0	0	0	0	0	0	5.4	0	0	5.4	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.13	1.08	4.4	6.4	0	5	0	0	6.6	4.4	6.1	7.2	5.4	0	0	0	4.4	0	5.7	4.4	0	0	5.4	0	0	0	0	0	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-5.17	1.56	0	6.5	0	5.8	0	4	5.1	4.7	5.4	7.2	5.6	0	4	0	5.1	5.1	5.1	4	4	0	4	0	0	0	0	4	0	0	0	4
E10.5	E105_Retinal_primordium	Retinal_primordium	-2.36	0.13	0	0	0	0	0	4	5.9	4	0	7.6	0	0	0	0	4.6	0	4.6	5	4	0	6	4	4	4.6	0	5	0	0	5.6	0
E10.5	E105_Retinal_primordium	Retinal_primordium	7.22	2.25	0	6.6	5.1	0	0	0	0	0	0	5.8	0	0	0	0	4.4	0	0	0	0	0	0	4.4	0	0	6	6.2	0	4.4	4.4	0
E10.5	E105_Retinal_primordium	Retinal_primordium	1.53	-4.78	0	0	0	4.2	0	0	0	0	0	3.5	0	0	0	0	4.2	0	4.6	4.2	3.5	3.5	0	0	4.6	5.4	0	4.6	0	0	4.2	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.07	-3.73	4	4	0	0	0	0	0	0	5.4	4.7	0	0	0	0	3.4	0	5.3	0	4	0	0	4.9	5.9	4.9	4.9	4.7	0	0	6.2	4
E10.5	E105_Retinal_primordium	Retinal_primordium	2.45	-1.22	0	0	0	0	0	0	0	0	6.5	0	0	0	0	0	0	0	0	0	0	0	5.6	0	6.3	0	6.7	0	0	0	6.5	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-5.64	0.42	6.2	4.8	4.8	4.8	5.5	0	0	0	5.9	6.8	0	0	0	0	5.9	0	5.5	0	0	0	0	0	0	4.8	4.8	0	0	0	4.8	4.8
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.48	-2.57	5.2	4.1	0	4.8	0	0	0	0	4.1	4.8	0	0	0	0	4.1	0	6.2	0	4.1	0	4.1	4.1	0	5.5	4.1	6.1	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.12	2.71	0	6.3	5.3	4.2	0	3.6	4.2	3.6	5.3	5.8	4.7	0	0	3.6	4.2	0	4.9	4.2	3.6	3.6	0	4.7	0	0	0	5.2	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	0	0.64	0	6.1	0	0	0	0	5.8	4.7	6.1	5.4	0	0	0	0	4.7	0	0	0	0	0	0	0	0	0	0	5.8	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.17	3.8	5.2	6.4	5.2	0	0	0	0	0	5.9	5.5	0	0	0	4.7	5.4	0	5	4.3	3.6	0	0	4.7	4.7	0	5.8	5.5	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	3.89	3.19	0	7	0	0	0	0	0	0	5.5	6	0	0	0	0	0	0	4.8	0	0	0	0	5.5	5.2	0	6.2	5.7	0	0	5.9	4.8
E10.5	E105_Retinal_primordium	Retinal_primordium	-0.01	-3.89	0	0	0	0	0	0	6.3	0	0	5.4	0	0	4.3	0	6.1	0	0	4.3	0	0	5.4	0	0	0	4.3	4.3	0	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	-1.95	-3.06	5.1	0	0	6.2	0	5.1	0	0	5.3	4.8	5.6	0	0	0	5.5	0	4.4	4.4	3.7	0	4.8	4.4	5.3	5.3	0	0	4.4	0	4.8	0
E10.5	E105_Retinal_primordium	Retinal_primordium	5.06	3.76	0	7.1	0	0	0	0	0	0	4.8	4.8	0	0	4.8	0	5.4	0	0	0	0	0	0	6.5	0	0	0	6.1	4.8	0	5.4	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.6	3.17	0	6.5	6	0	0	0	0	0	0	6.1	4.5	0	0	0	4.9	0	4.5	3.9	0	0	0	3.9	4.9	0	4.5	4.9	4.5	3.9	3.9	4.5
E10.5	E105_Retinal_primordium	Retinal_primordium	0.46	0.93	5.5	6.2	0	5.5	0	0	5.5	5.5	4.8	6.2	5.9	0	0	0	0	0	5.5	4.8	0	0	0	0	0	0	0	0	4.8	0	0	0
E10.5	E105_Retinal_primordium	Retinal_primordium	1.46	-4.37	0	5	0	5	0	0	0	0	4.3	0	0	0	0	0	5	0	0	5.4	5.4	0	0	0	5.9	5	0	0	0	4.3	0	5.4
E10.5	E105_Retinal_primordium	Retinal_primordium	1.42	-3.88	0	0	0	0	0	0	0	0	4.4	4.4	0	0	0	4.4	5.5	0	5.1	5.1	0	0	0	0	6.1	5.1	0	0	0	0	5.7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	2.48	-4.54	0	4.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.3	0	4.7	0	5.4	0	5.8	6.1	0	6.8	0	0	4.7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	3.32	-0.33	0	5.6	0	0	0	0	0	0	4.9	6	0	0	0	0	5.6	0	0	0	0	0	0	0	0	5.6	4.9	6.5	0	5.6	7	0
E10.5	E105_Retinal_primordium	Retinal_primordium	0.31	-0.54	0	5.4	0	0	0	0	4.7	0	5.8	6.5	0	0	0	0	0	0	5.4	0	0	0	4.7	4.7	0	5.4	4.7	5.8	0	0	0	0
