day	Anno	celltype	UMAP_1	UMAP_2	marker:Sim1	marker:Pax2	marker:Mecom	up:Dach1	up:Prdm16	up:Grhl2	up:Hnf1b	up:Tfap2a	down:Tshz2	down:Zeb2	down:Zeb1	down:Meis1	down:Ebf1	down:Nr2f2	down:Osr1	down:Meis2	down:Pknox2	down:Hoxa3	down:Zfhx4	down:Hoxc4	down:Tshz1	down:Foxp2	down:Zfp516	down:Zbtb16	down:Foxn3	down:Bnc2	down:Pbx1	down:Hoxa5	down:9430076C15Rik	down:Wt1	down:Hoxc5	down:Rora	down:Hoxc6
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-2.74	-0.39	0	4.8	4.7	5.5	0	0	0	0	4.5	3.7	0	3	0	3.4	0	5.5	4.5	0	2.4	4.2	4.5	0	4.1	4.8	2.4	0	5.7	0	0	0	0	4.1	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-1.93	3.44	3.6	5.4	0	4.3	0	0	0	0	2.9	0	3.6	4.3	4	0	2.9	4.7	0	0	0	0	2.9	2.9	2.9	0	3.6	0	5.5	0	0	0	0	4	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	5.42	-2.17	4.2	0	3.7	5.1	0	0	0	0	5.9	4.6	4.4	5	4.1	3.7	4.1	5.7	3.9	3.7	3.7	3.9	2.4	0	3.4	3.9	3.9	3.4	4.9	0	0	3	2.4	2.4	2.4
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	5.13	-0.1	2.2	0	1.6	5.1	0	0	0	0	4.6	4.1	4.5	5.4	4.3	3.5	1.6	5.9	3.7	3.4	4.2	3.8	3.2	3.2	2.9	3.2	3.9	3.6	6.2	0	1.6	0	1.6	4.3	1.6
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.33	-2.15	3.6	4.4	3.6	6	0	0	0	0	4.9	4.9	4.3	5.2	5.2	4.7	0	5.8	3.6	0	4.1	4.4	0	2.5	4.4	0	3.6	2.5	5.9	0	0	0	2.5	4.4	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	6.66	1.87	4	0	0	5.3	0	0	0	0	3.7	4.6	3.7	4.7	3.3	4.2	4	5.3	2.7	0	4.2	0	3.3	4.6	0	0	3.3	0	5.5	0	0	0	0	4	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	5.27	-1.53	2.6	0	4.1	4.1	0	0	0	0	5.7	4.4	3.9	5.7	5	4.6	3.9	6.4	4.1	3.6	4.7	4.1	3.2	2.6	2.6	4.4	3.9	4.1	5.7	0	0	4.1	0	4.4	3.2
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	1.46	1.72	0	5.5	3.8	3.9	0	0	0	0	5.2	4.1	2.2	5.3	2.2	3.9	2.2	4.8	3.5	3.3	3.5	3.3	3.3	2.9	4.3	3.9	3.8	0	5.5	0	0	3.5	0	0	2.2
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	0.84	0.86	0	3.2	0	0	0	0	0	0	3.9	0	3.2	3.2	0	3.2	0	6.3	3.2	0	0	4.3	0	0	3.2	4.6	0	0	5.7	0	0	0	0	4.3	0
E8.5b	E85b_Intermediate_mesoderm	Intermediate_mesoderm	-4.66	3.1	4.6	4.2	3.5	4.4	0	0	0	0	0	0	0	3.5	0	0	2.5	3.5	2.5	0	0	0	0	0	2.5	2.5	0	0	2.5	0	0	0	2.5	0	0
