day	Anno	celltype	UMAP_1	UMAP_2	Bach2	Cpa2	Dach1	Dll1	Fgf10	Hes7	Hoxa1	Hoxb1	Lmx1b	Mecom	Meis2	Meox1	Msx1	Pax2	Pax8	Prrx1	Sim1	Tbx6	Tshz2	Wnt5a
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	6.58	4.57	0	0	3.6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3.6	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.64	-2.07	5.2	0	0	0	0	0	0	0	0	0	6.6	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	0.25	-3.89	0	0	0	0	5.5	0	0	0	0	4.6	5.5	0	0	0	0	0	0	0	5	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.56	-0.78	0	0	0	0	5.5	0	0	0	0	0	5.5	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.82	-4.49	5.3	0	4.6	0	5.3	0	0	0	5.3	4.6	0	0	0	0	0	0	0	0	4.6	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	6.57	2.98	0	0	6	0	0	0	0	0	0	0	4.6	0	0	0	0	0	0	0	0	4.6
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.13	-0.68	0	0	4.6	0	0	0	0	5.3	0	0	5.7	0	0	0	0	5.3	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.06	-4.88	0	0	4.1	0	6.1	0	0	0	0	4.1	4.1	0	5.2	0	0	0	0	0	6.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.3	-0.64	4.9	0	5.6	0	0	0	0	0	0	0	5.6	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-2.36	-0.05	0	0	5.9	0	0	0	0	0	0	0	5.9	0	5.2	0	0	0	0	0	5.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	0.36	-0.65	0	0	0	0	4.9	0	0	0	0	0	4.9	0	0	0	0	0	0	0	4.9	4.9
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	4	2.93	0	0	5.2	0	0	0	0	0	0	0	6.2	0	0	0	0	0	5.2	5.2	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-0.87	-1.78	0	0	0	0	0	0	0	0	0	0	6.2	0	0	0	0	5.5	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.42	1.67	0	0	5.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-0.5	-1.84	0	0	5.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.2	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-1.76	-1.67	0	0	0	0	5.3	0	0	0	0	0	5.3	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.98	1.87	0	0	0	0	0	0	0	0	0	0	5.7	0	0	0	0	0	0	0	0	5
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.2	2.76	0	0	6.4	0	0	0	0	0	0	0	6.8	0	0	0	0	0	0	0	0	5
E9.5	E95_Intermediate_mesoderm	Intermediate_mesoderm	-2.37	3.95	0	0	0	0	0	0	0	0	4.3	0	6.1	4.3	0	5	0	0	0	0	5.9	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-0.67	-5.01	0	4.3	6.5	0	4.3	0	0	0	0	4.3	6.2	0	5	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	6.57	2.19	0	0	5.5	0	4.8	0	0	0	0	0	4.8	0	4.8	0	0	4.8	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	6.63	2.58	0	0	4.1	0	0	4.1	0	0	0	0	4.1	0	0	0	0	0	0	0	0	4.8
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	2.91	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.63	-0.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E9.5	E95_Limb_mesenchyme_prog	Limb_mesenchyme_prog	-3.63	-6.02	4.6	0	4.6	0	0	0	0	0	5.7	5.3	4.6	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	0.11	3.78	0	0	5.8	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	0	0	0
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	5.7	3.08	0	0	4.3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	5.4
E9.5	E95_Paraxial_mesoderm_B	Paraxial_mesoderm_B	3.65	1.39	0	0	0	0	0	5.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
