day	Anno	celltype	UMAP_1	UMAP_2	Atf3	Cdh5	Cebpd	Elk3	Kdr	Klf7	Pecam1	Xbp1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.22	-1.99	0	0	0	2.9	0	0	0	2.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.95	1.9	0	0	0	0	2	0	0	2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.68	4.53	0	2.3	0	0	0	0	0	2.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.33	4.45	0	0	0	0	2	0	2	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.04	4.7	0	0	0	0	3.2	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.9	1.67	0	0	0	2.3	3	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.37	-0.07	0	1.7	1.7	0	1.7	0	1.7	2.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.39	0.37	0	0	0	2.3	3	2.3	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.8	0.88	0	0	1.8	0	3.1	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.84	-0.17	0	0	0	2.2	2.8	0	0	2.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.82	-1.43	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.77	4.09	0	0	0	0	2.7	0	1.7	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.34	4.28	0	0	0	0	2.7	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.77	-2.3	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-0.18	1.53	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.77	2.87	0	0	0	0	3.2	2.5	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.64	0.65	0	0	0	0	0	0	2.1	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	4.92	-1.01	0	0	0	0	0	0	2.6	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.94	-0.63	1.7	0	0	1.7	2.3	1.7	0	1.7
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.37	-0.33	0	0	0	0	3.8	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.31	-0.24	2.1	0	0	2.1	3.6	0	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.51	3.77	0	0	0	0	0	0	0	1.9
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	5.25	-1.36	0	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.01	0.34	2.1	0	0	2.1	2.1	0	0	3.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.52	1.25	2.7	0	1.8	1.8	1.8	0	1.8	3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-4.85	1.27	0	0	0	0	2.1	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.44	-1.7	0	0	0	0	2.6	2.6	2	2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	3.1	-1.44	0	0	0	0	2.1	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.91	0.36	2.5	0	0	0	2.5	0	0	3.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	1.02	-1.01	0	0	0	2.7	3.6	2.7	0	2.1
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-3.25	0.62	0	0	0	0	2.2	0	0	3.2
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.06	-2.78	2.6	0	0	0	0	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	0.68	3.89	0	0	0	0	0	0	2.3	2.3
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.26	2.2	2	0	0	0	2.6	0	2	2.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.44	3.84	0	0	0	0	0	0	0	1.8
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.89	-2.25	0	0	2.2	0	2.9	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-2.69	-0.67	0	0	0	2.1	3.4	0	0	0
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	2.2	-3.96	2.1	0	0	0	3.1	2.1	0	3.6
E7.5	E75_Haematoendothelial_prog	Haematoendothelial_prog	-1.14	3.51	0	0	0	0	0	0	0	0
