day	Anno	celltype	UMAP_1	UMAP_2	marker:Cdx4	marker:Epha5	marker:Hes3	up:Hoxc8	up:Hoxb9	up:Hoxa7	up:Hoxc6	up:Msx1	up:Hoxa9	up:Hoxc4	up:Sox4	up:Etv4	up:Hoxc9	up:Evx1	up:Hoxb6	up:Hoxb8	up:Hes7	up:Zfp503	up:Hoxa3	up:Tbx6	down:Hoxa1	down:Zic3	down:Meis2	down:Jund	down:Pbx2	down:Tshz1
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.81	2.09	0	3.2	3.2	0	0	0	0	2.6	0	0	2.6	2.6	0	0	0	2.6	3.2	0	0	2.6	4.1	0	2.6	2.6	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	4.52	0.67	4	0	3	0	3.2	2	0	2.6	0	0	3	2	0	2	2	3.5	2	2	0	0	0	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.57	1.54	3	2.3	2.3	0	0	0	0	0	0	0	3.4	3	0	0	0	3.4	0	0	0	0	3.4	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-4.87	1.04	2.5	2.9	2.5	0	2.5	0	0	2.5	0	0	0	2.5	0	0	0	2.9	2.9	0	0	0	3.8	1.9	3.3	2.5	0	2.9
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.7	1.16	0	2.2	3.3	0	0	0	0	0	0	0	3.3	2.2	0	0	0	2.9	0	0	0	0	4.3	0	0	3.5	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.31	2.3	3	0	3.4	0	2.4	0	0	4.1	0	0	3.7	4.1	0	3	0	3	2.4	0	0	0	0	0	0	0	2.4	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-3.79	1.49	2.7	0	3.1	0	2.1	0	0	0	0	0	3.4	2.1	0	0	0	0	0	0	0	0	4.4	2.1	2.1	3.4	2.1	2.7
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-1.12	-1.37	0	2.5	2.5	0	3.6	2.5	0	0	0	0	3.2	3.2	0	0	0	3.6	3.2	2.5	3.2	0	2.5	0	0	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	3.73	1.21	3.4	2.8	0	0	2.2	0	0	0	0	0	2.8	3.4	0	2.2	0	2.8	3.2	2.2	0	0	2.8	0	0	2.2	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.03	-3.21	2.4	2.4	2.4	0	2.4	0	0	0	0	0	2.4	3.1	2.4	0	0	3.1	0	2.4	0	0	3.7	3.4	2.4	0	0	2.4
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-0.65	-4.12	3.1	2.5	0	0	3.5	2.5	0	2.5	0	0	0	3.5	0	0	0	4.2	2.5	2.5	0	0	3.5	2.5	3.1	0	0	0
E8	E8_Caudal_lateral_epiblast	Caudal_lateral_epiblast	-2.6	2.47	0	0	2.6	0	1.9	1.9	0	1.9	0	0	1.9	2.9	0	0	0	3.4	0	0	0	0	3.8	0	2.9	2.6	0	0
