day	Anno	celltype	UMAP_1	UMAP_2	Casz1	Epha6	Mecom	Mitf	Oca2	Pou2f2	Rora	Rorb	Sox6	Trpm1	Trpm3	Tyr	Vsx2	Zfp385b	Zmat4
E10.5	E105_Retina_primordium	Retina_primordium	-0.21	-4.1	0	0	0	0	0	0	5.2	0	0	0	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.2	0.02	0	0	0	5.5	5.9	0	7.1	4.8	4.8	4.8	6.4	6.6	0	0	4.8
E10.5	E105_Retina_primordium	Retina_primordium	4.33	-1.05	0	0	0	4.7	0	0	0	0	0	0	5.8	0	0	0	4.7
E10.5	E105_Retina_primordium	Retina_primordium	-1.6	4.98	0	4.8	0	0	4.8	4.8	0	0	0	0	6.4	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.61	1.99	0	0	4.1	4.8	0	0	5.7	0	5.7	4.8	6.9	0	0	4.1	0
E10.5	E105_Retina_primordium	Retina_primordium	6.46	-0.33	0	0	0	6.1	5.4	0	6.1	0	5.4	5.8	6.7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.93	2.14	0	4.6	0	4.6	0	0	0	0	4.6	5.3	6.5	0	0	0	4.6
E10.5	E105_Retina_primordium	Retina_primordium	3.18	2.8	0	5.7	0	4.6	0	0	0	0	0	4.6	5.7	0	0	4.6	0
E10.5	E105_Retina_primordium	Retina_primordium	5.78	1.72	0	0	0	4.3	4.3	4.3	6.3	4.3	5.9	5	6.5	5	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.43	-3.39	0	0	0	5.4	0	0	0	0	0	4.7	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.07	0.28	0	5.6	0	5	5.6	0	5.6	6	5.6	5.6	6.3	5	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.21	1.08	0	4.7	0	6	4.7	0	6.3	4.7	0	5.3	7	0	0	4.7	0
E10.5	E105_Retina_primordium	Retina_primordium	6.29	-1.23	0	0	0	5.6	6.3	0	4.5	0	0	5.2	7	4.5	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.99	-5.21	0	4.8	0	0	0	0	4.8	0	5.9	4.8	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	0.89	-2.81	0	0	0	0	0	0	0	0	3.8	3.8	5.2	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.37	-1.64	0	0	0	6.8	0	0	5.1	0	0	0	5.8	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	6.74	0.09	0	0	0	5	5	0	6.7	4.4	5.5	6	6.5	6	0	5.5	0
E10.5	E105_Retina_primordium	Retina_primordium	7.09	0.72	0	4.5	0	6.5	6.3	0	6.3	0	4.5	5.9	7.3	6.4	0	4.5	5.2
E10.5	E105_Retina_primordium	Retina_primordium	0.34	-3.16	0	0	0	4.9	4.2	0	4.2	0	0	0	5.8	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.31	-1.01	0	0	0	5.2	5.2	0	0	0	5.2	0	7.4	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	4.44	2.11	0	0	0	5.8	4.6	0	5.3	0	4.6	4.6	6.4	0	0	0	4.6
E10.5	E105_Retina_primordium	Retina_primordium	4.98	1.38	0	0	0	4.8	4.1	0	4.1	0	5.5	5.2	6.6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.75	-3.03	0	0	0	5.4	0	0	0	0	5.8	5.4	6.1	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.1	-2.33	0	0	0	0	0	0	0	0	0	5.9	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.67	-0.21	0	4.6	0	5.7	5.3	0	5.3	0	5.7	0	7.6	5.3	0	6.2	0
E10.5	E105_Retina_primordium	Retina_primordium	5.9	-1.13	0	0	0	4.9	5.2	0	5.2	0	4.2	4.2	6.9	5.9	0	5.2	0
E10.5	E105_Retina_primordium	Retina_primordium	4.32	-1.48	0	0	0	5.1	0	0	0	0	5.1	6.2	7.6	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	5.82	0.5	0	0	0	5.7	6.6	0	5	5	6.1	5.7	6.8	6.6	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	1.88	-2	0	0	0	4.9	0	4.9	6.5	0	4.9	0	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.17	-2.21	0	0	0	5.1	5.1	0	0	0	0	5.1	6.2	0	0	5.8	0
E10.5	E105_Retina_primordium	Retina_primordium	2.9	1.67	0	0	0	0	0	0	5.6	0	5.6	0	6.4	0	0	4.2	4.2
E10.5	E105_Retina_primordium	Retina_primordium	5.04	0.82	0	0	0	0	5.1	0	4.4	4.4	5.5	0	6.4	0	0	4.4	0
E10.5	E105_Retina_primordium	Retina_primordium	2.89	-2.08	0	0	0	0	0	0	5.1	5.8	5.1	5.1	6.9	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	3.51	1.98	4.4	0	0	5.1	4.4	0	6.2	0	4.4	4.4	7.2	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.48	-0.69	0	0	0	5.1	5.6	0	5.6	4.5	4.5	4.5	6.5	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	2.29	1.86	0	0	4.7	0	0	0	4.7	0	0	4.7	7	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	-3.66	2.75	0	5.2	0	0	0	0	0	5.2	0	5.2	0	0	0	0	0
E10.5	E105_Retina_primordium	Retina_primordium	7.1	-0.82	0	0	0	5.3	5.5	0	6	3.9	5.9	4.6	6.8	6.7	0	5	0
