day	Anno	celltype	UMAP_1	UMAP_2	marker:Tbx4	marker:Hoxa11	up:Pitx1	up:Hoxc9	up:Hoxa10	up:Hoxa9	up:Hoxa7	up:Hoxc8	up:Prrx2	up:Smad7	up:Twist1	up:Snai1	up:Twist2	up:Gata5	up:Bbx	up:Hoxc10	up:Smarca1	up:Zfx	up:Hey2	up:Hoxc11	up:Jun	up:Gata4	up:Tcf21	up:Smad6	up:Klf14	up:Tbx2	down:Mesp1	down:Pou5f1	down:T	down:Hoxb1	down:Foxf1	down:Mixl1	down:Evx1	down:Sub1	down:Cdx2	down:Cdx4	down:Irf1	down:Msx2	down:Foxo4	down:Cdx1
E7.75	E775_Allantois	Allantois	-3.85	1.05	2.4	0	1.8	0	3.7	2.4	2.7	2.4	1.8	1.8	1.8	2.7	2.7	0	0	0	2.4	0	0	0	2.4	1.8	1.8	0	1.8	1.8	0	0	1.8	0	2.4	0	0	4.9	1.8	0	0	3	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.1	-2.12	0	0	2	3.3	0	2.6	3	2.6	2	2.6	0	2.6	0	0	2	0	2	0	0	0	2	0	0	0	0	0	3.7	2	0	2.6	3.3	2.6	0	4.7	3.5	4.1	0	2.6	2	0
E7.75	E775_Allantois	Allantois	-3.13	1.16	1.7	0	3.1	0	2.2	1.7	3.1	2.6	0	2.6	1.7	3.4	2.2	0	1.7	0	0	2.6	1.7	0	2.6	2.2	0	1.7	0	0	0	1.7	0	1.7	2.2	0	1.7	4.5	1.7	0	0	2.6	1.7	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.52	0.86	0	0	2.9	1.9	2.5	2.5	2.5	2.5	0	1.9	0	2.5	0	0	2.9	1.9	0	0	0	0	1.9	0	0	0	0	0	0	2.5	1.9	0	3.6	0	0	4.7	3.7	3.4	0	3.7	3.2	2.9
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.48	0.4	0	0	0	0	0	0	0	0	3.8	0	0	2.8	0	0	2.8	0	0	0	0	0	0	2.8	0	0	0	0	0	2.8	0	3.4	0	0	2.8	5.2	0	0	0	2.8	0	3.8
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.19	1	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	3	0	2	2	2	3.5	3	4.8	3.7	3.8	0	2.6	0	2.6
E7.75	E775_Allantois	Allantois	-4.12	-0.32	1.9	2.6	2.9	3.2	2.6	0	1.9	0	3.4	3.2	0	2.9	0	1.9	2.9	0	0	1.9	0	0	0	0	0	2.6	0	0	0	1.9	0	0	1.9	0	0	4.6	1.9	0	0	2.9	0	0
E7.75	E775_Allantois	Allantois	-2.69	1.98	0	2.5	3.7	2.5	2.5	2.5	0	1.9	3.4	2.5	2.5	1.9	0	1.9	2.5	0	0	0	0	0	0	0	1.9	0	0	0	0	0	0	0	1.9	0	0	4.1	3.2	0	0	3.7	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.06	0.05	0	1.7	1.7	0	1.7	0	0	2.3	0	2.3	1.7	2.9	2.7	0	0	0	0	0	0	0	1.7	0	0	0	0	0	3.8	2.3	0	2.3	3.2	0	2.7	5	3.2	2.7	0	2.9	0	2.3
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.23	-0.75	0	0	2.4	0	0	0	0	0	0	0	2.4	2.4	1.8	0	2.4	0	0	0	0	0	0	0	0	1.8	0	0	3.6	3	3	0	3.3	3	1.8	4.9	4.4	3.3	1.8	3.9	0	2.8
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	3.75	0.45	0	0	0	0	0	0	1.8	0	0	1.8	0	1.8	0	0	0	0	1.8	0	0	0	0	0	0	0	0	0	1.8	3.3	3	2.4	1.8	0	3	4.9	2.8	3	0	1.8	0	3.6
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.01	0.09	0	0	2.8	0	3.5	3.1	2.4	2.4	0	1.8	1.8	1.8	0	0	2.8	0	1.8	1.8	0	0	0	0	0	0	0	1.8	0	2.4	2.8	0	3.1	1.8	0	4.6	3.5	2.4	0	2.4	1.8	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-0.75	1.17	2.1	0	0	2.1	3.4	0	3.4	0	2.1	2.7	0	3.1	0	0	0	0	2.1	0	0	0	2.1	0	0	0	0	0	2.7	2.1	0	0	2.7	0	0	4.8	3.6	3.4	0	3.9	3.1	2.1
