day	Anno	celltype	UMAP_1	UMAP_2	marker:Fstl5	marker:Dscaml1	marker:Lhx2	up:Myt1l	up:Uncx	up:Ebf2	up:Aff3	up:Emx2	up:Nfib	up:Tshz1	up:Ncoa1	up:Fezf1	up:Klf12	up:Pbx1	up:Ebf3	up:Tshz3	up:Zfp608	up:Lcorl	up:Mxi1	up:Foxo6	up:St18	up:Mbd2	up:Foxp1	up:Arid5b	down:Zeb2	down:Setbp1	down:Isl1	down:Pou4f1	down:Zeb1	down:Meis2	down:Tcf4	down:Rora	down:Onecut1	down:Foxn3	down:Neurod1	down:Nr2f2
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.08	2.89	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7	5.2	0	0	5.5	0	0	0	0	0	0	5.5	5.5	0	0	6	4.8	4.8	5.7	5.2	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-1.38	5.85	0	5.8	0	0	0	5.1	5.5	0	0	0	0	0	0	4.7	4.5	0	5	5.8	3.6	0	4.7	0	6.2	0	6.2	6.2	3.6	4.3	5.9	3.6	5.1	3.6	0	4.5	5	2.9
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-7.5	6.27	0	0	0	0	0	3.9	0	0	0	0	0	0	5	5.8	0	3.9	4.6	5.2	3.2	0	4.8	0	5.2	0	3.9	6	4.6	0	3.2	5	3.9	4.6	0	0	4.3	4.8
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.07	-1.37	0	5.2	0	0	0	5	0	0	0	0	0	0	4.7	6.3	5.4	0	5.2	5.2	3.6	0	4.3	3.6	5.2	0	6	5.9	5.4	3.6	5.4	0	4.7	5.5	3.6	4.3	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	0.7	-0.93	0	5.4	0	0	0	5.4	0	0	0	0	0	0	0	5.8	5.4	0	0	0	0	0	5.8	0	5.4	0	4.7	5.4	4.7	0	0	5.4	0	4.7	0	0	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	3.31	3.61	0	0	0	0	0	4.5	5.6	0	0	0	0	0	0	5.9	0	0	0	4.5	0	0	0	0	5.6	0	0	7.5	0	0	0	5.6	5.2	4.5	0	5.2	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.07	-4.63	4.3	0	0	0	0	4.9	5.4	0	0	0	0	0	4.9	5.4	0	0	5.4	4.3	0	0	0	0	4.3	0	0	7.1	4.3	0	0	0	5.4	4.3	0	4.3	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.81	-1.35	0	0	0	0	0	0	0	0	0	0	5.8	0	0	0	0	0	0	0	5.1	0	0	0	0	0	0	5.1	0	0	5.1	5.8	0	0	5.1	5.8	0	0
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	-0.02	2.14	0	0	0	0	0	4.8	4.2	0	0	0	0	0	4.2	4.8	0	0	5.5	0	4.2	0	0	0	5.5	0	4.8	6.9	5.2	0	5.2	5.2	0	0	0	4.8	4.8	4.2
E9.5	E95_Neural_crest_PNS_neurons	Neural_crest_PNS_neurons	1.86	-0.2	0	5.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4	0	0	0	0	6.1	0	5.8	6.1	0	0	4.7	0	0	0	4.7	5.4	0	0
