day	Anno	celltype	UMAP_1	UMAP_2	Fli1	Gata1	Gfi1b	Hapln1	Hoxb2	Hoxb4	Lyl1	Runx1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.03	0.31	0	2.8	0	0	2.8	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-3.92	1.44	2.5	3.2	3.2	2.5	0	0	0	3.5
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.86	-2.17	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.73	1.5	3.1	0	0	2.5	2.5	0	0	2.5
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.57	1.49	0	0	0	0	3.5	0	3.1	3.1
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.95	-0.42	3.5	3.5	0	2.8	0	0	0	2.8
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	5.03	-1.71	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.49	-2.58	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.27	1.27	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-5.22	2.59	0	4	3.4	3.4	2.8	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	3.86	-1.34	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-0.53	3.17	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.19	0.77	0	0	0	0	0	0	0	2
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.44	1.76	2.7	0	0	0	0	0	0	2.7
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.86	-2.16	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.46	-0.29	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-1.42	0.45	1.8	0	0	0	0	0	0	1.8
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	-2.02	2.93	2.9	0	0	3.3	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	4.14	1.89	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.05	1.67	2.3	0	0	0	1.7	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	1.99	1.53	0	0	0	0	0	0	0	0
E7	E7_Haematoendothelial_prog	Haematoendothelial_prog	2.58	-1.34	0	0	0	0	0	0	0	0
