day	Anno	celltype	UMAP_1	UMAP_2	down:Trps1	down:Maf	down:Tcf7l2	down:Hivep3	down:Mef2c	down:Zfp608
E10.5	E105_White_blood_cells	White_blood_cells	3.44	4.29	0	5	0	0	5.4	0
E10.5	E105_White_blood_cells	White_blood_cells	3.25	6.71	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.82	1.67	4.7	0	5.3	0	5.7	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.04	-6.68	0	0	0	0	5.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.14	-2.88	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	1.06	5.55	5.2	4.1	0	4.1	5.2	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.69	-4.08	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.27	-3.85	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	0.64	-5.56	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.45	-1.82	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-7.3	-5.97	0	0	0	0	5.1	0
E10.5	E105_White_blood_cells	White_blood_cells	2.91	6.04	0	4.5	0	4.5	4.5	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.8	-6.1	0	0	0	0	6.2	0
E10.5	E105_White_blood_cells	White_blood_cells	1.76	2.05	0	0	0	4.9	0	4.9
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.06	-3.65	4.9	0	3.9	0	4.5	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.36	-5.63	0	0	0	0	5.4	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-1.01	-3.61	0	0	0	0	6.2	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.59	3.98	0	5.8	0	5.1	6.7	5.1
E10.5	E105_White_blood_cells	White_blood_cells	6.21	5.03	0	0	0	0	3.9	0
E10.5	E105_White_blood_cells	White_blood_cells	1.55	-5.48	0	0	0	0	4.3	5
E10.5	E105_White_blood_cells	White_blood_cells	-0.37	6.72	0	5.2	0	0	6.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.49	-6.48	0	0	0	0	6.8	0
E10.5	E105_White_blood_cells	White_blood_cells	2.69	1.75	5.2	5.2	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-1.23	-3.88	0	0	0	0	5.2	0
E10.5	E105_White_blood_cells	White_blood_cells	3.14	0.85	5	0	0	0	5.4	0
E10.5	E105_White_blood_cells	White_blood_cells	2.99	-4.15	0	0	0	0	4.8	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.34	-6.92	0	0	0	0	4.5	0
E10.5	E105_White_blood_cells	White_blood_cells	2.8	4.83	5	0	5.7	0	5.7	0
E10.5	E105_White_blood_cells	White_blood_cells	1.34	7.21	0	5.7	6	4.6	4.6	0
E10.5	E105_White_blood_cells	White_blood_cells	0.26	1.21	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	1.15	4.9	6.4	6.3	5.2	0	6.3	4.5
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.04	-6.23	0	0	0	0	6.2	0
E10.5	E105_White_blood_cells	White_blood_cells	2.34	4.51	0	5.8	4.7	0	4.7	0
E10.5	E105_White_blood_cells	White_blood_cells	2.38	-4.54	0	0	0	0	4.9	0
E10.5	E105_White_blood_cells	White_blood_cells	0.52	3.11	5.4	6.5	0	5.4	5.4	0
E10.5	E105_White_blood_cells	White_blood_cells	1.84	1.95	4.5	4.5	5.1	0	5.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.16	-2.1	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.72	3.51	5	0	0	0	6.9	0
E10.5	E105_White_blood_cells	White_blood_cells	0.59	4.83	5	4.4	4.4	0	5	4.4
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.85	-3.17	0	0	0	0	5.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.93	-4.06	0	0	0	0	5.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.32	-3.91	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.51	-4.43	0	0	0	0	5.5	0
E10.5	E105_White_blood_cells	White_blood_cells	3.47	5.07	0	3.7	0	0	3.7	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.46	-4.57	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	0.17	6.8	0	0	4.4	0	6.2	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-4.39	-6.46	0	0	0	0	4.6	0
E10.5	E105_White_blood_cells	White_blood_cells	4.89	1.42	6	4.4	0	4.4	6	5.8
E10.5	E105_White_blood_cells	White_blood_cells	-1.59	4.01	0	0	0	0	5.2	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.85	-3.82	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.97	-3.14	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.23	1.99	0	0	0	0	6.6	5.5
E10.5	E105_Megakaryocytes	Megakaryocytes	-6.26	-6.15	0	0	0	0	5	0
E10.5	E105_White_blood_cells	White_blood_cells	1.61	0.82	0	0	0	0	6.1	0
E10.5	E105_Megakaryocytes	Megakaryocytes	0.26	-5.81	0	0	0	0	0	0
E10.5	E105_Megakaryocytes	Megakaryocytes	1	-5.3	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	-0.64	-6.24	0	0	0	0	5.6	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-5.98	-4.49	0	0	0	0	5.5	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-3	-6.06	0	0	0	0	6	0
E10.5	E105_Megakaryocytes	Megakaryocytes	-0.85	-3.01	0	0	0	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	2.81	6.72	0	0	4.7	0	0	0
E10.5	E105_White_blood_cells	White_blood_cells	3	5.38	4.7	0	0	0	4.7	0
E10.5	E105_White_blood_cells	White_blood_cells	7.08	4.42	5.2	0	0	0	5.2	0
