day	Anno	celltype	UMAP_1	UMAP_2	marker:Cer1	marker:Krt18	up:Sox17	up:Hesx1	up:Nr2f6	up:Hmga1	up:Sall4	up:Ovol2	up:Klf6	up:Mbd3	up:Elf3	up:Lin28a	up:Tead2	up:Nfkb1	up:Ybx1	down:Pou5f1	down:Mixl1	down:T	down:Foxj1	down:Sp5	down:Pa2g4	down:Foxa2	down:Trp53	down:Eomes	down:Cebpb	down:Junb	down:Sox11	down:Mycn	down:Lef1	down:Egr1	down:Olig1
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.8	0.55	3.9	2.9	0	0	0	0	2.9	0	0	3.9	0	0	2.9	0	6	3.5	3.5	4.2	0	2.9	4.2	0	2.9	0	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.09	0.32	3.9	2.8	0	0	0	2.8	2.8	0	0	0	0	0	3.5	0	5.8	4.2	2.8	3.5	0	3.5	4.2	3.9	2.8	0	2.8	2.8	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.85	-2.56	0	2.4	0	0	0	2.4	4.2	0	2.4	0	0	2.4	3.8	0	6.4	4.6	3.5	0	0	2.4	4	0	3.5	0	0	0	0	3.1	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.14	2.41	4.5	3.4	4.4	0	2.4	0	3.4	0	2.4	3.9	2.4	3.1	3.7	2.4	6.6	3.4	3.1	0	0	3.4	4.4	0	3.4	2.4	2.4	2.4	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.01	-3.1	4.9	0	4.3	0	0	0	2.6	2.6	0	3.2	0	3.2	2.6	0	6.4	3.6	3.2	4.7	0	4.4	4.1	0	3.2	3.6	0	0	3.2	0	0	0	2.6
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.35	2.74	4.9	4.5	4.3	0	2.8	2.8	3.4	0	0	3.8	2.8	0	3.8	2.8	6.2	2.8	0	0	0	2.8	2.8	2.8	0	0	2.8	0	2.8	0	2.8	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.79	3.83	2.9	5	0	0	0	0	0	0	0	0	0	2.9	3.9	0	5.7	3.9	0	4.9	3.5	2.9	2.9	3.5	3.5	0	0	3.5	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.63	-0.23	3	4	3	0	0	0	3	0	3	4	0	0	3	3	5.6	0	0	0	0	0	3.6	0	0	3	3	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-5.82	3.26	4.2	3.7	4	2.6	2.6	2.6	2.6	0	0	3.3	2.6	3.3	0	0	6.5	3.3	0	0	0	0	4.4	0	0	2.6	0	2.6	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.23	-4.97	4	0	3.7	0	0	0	2.7	2.7	2.7	3.3	0	0	3.3	0	6.5	4	0	0	0	0	4.9	0	2.7	2.7	0	0	0	0	3.3	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.44	4.13	5.1	3.9	4.3	0	2.6	0	3.3	2.6	0	2.6	0	0	3.9	0	5.9	3.7	3.7	2.6	0	3.3	3.9	0	3.3	0	2.6	0	2.6	0	0	2.6	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.89	-1.35	3.2	2.5	4.4	0	3.2	0	2.5	0	2.5	4.4	0	0	3.6	0	6.3	4.4	0	3.2	0	3.6	3.9	3.6	3.2	0	0	2.5	0	2.5	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.94	-1.54	4.4	4	3.5	0	0	2.4	3.7	0	2.4	2.4	0	0	0	0	6.8	4	2.4	0	0	0	4.7	0	3.1	0	0	2.4	0	2.4	2.4	2.4	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-6.16	3.19	4.4	5.1	4.2	2.5	3.5	2.5	4.5	0	0	2.5	0	3.8	3.2	2.5	6.5	2.5	0	0	0	0	4.4	0	2.5	2.5	0	3.2	0	0	0	2.5	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.95	2.97	4.3	4.3	3.5	3.1	0	2.5	3.8	0	0	3.5	0	2.5	2.5	0	6.6	3.8	0	3.1	0	0	3.5	0	2.5	0	0	0	2.5	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.31	0.39	3.6	4.3	0	0	0	3	3.6	0	0	3.6	0	0	3	0	6.3	3.6	0	4.5	0	3	3.6	0	3	3	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.12	0.55	0	0	0	0	0	0	0	0	0	0	0	0	2.9	0	6.3	3.9	0	3.5	0	4.4	2.9	2.9	2.9	0	2.9	0	3.9	0	2.9	2.9	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-3.38	-5.23	4	4.3	4	2.4	3.1	0	3.5	2.4	0	3.8	2.4	0	3.8	0	6.6	3.8	0	0	0	2.4	3.1	2.4	2.4	0	0	0	3.1	3.5	0	2.4	2.4
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.1	-4.68	5.3	4.2	0	0	2.5	2.5	3.5	0	0	4	0	0	4	0	6.3	4.2	0	0	0	0	4.2	2.5	3.1	0	2.5	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.39	0.29	6	4.3	5.1	0	0	2.9	2.9	2.9	0	0	0	0	3.6	0	6.3	2.9	0	0	0	0	4.5	0	4.3	0	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.12	-1.56	0	0	0	0	0	0	2.8	0	0	4.1	0	0	3.8	0	6.3	4.3	3.8	2.8	2.8	4.1	3.4	2.8	3.8	3.4	0	2.8	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-4.32	4.3	5	5	3.4	3.4	0	0	4.1	0	0	3.8	3.4	0	0	0	6	3.4	0	0	0	3.8	3.8	0	0	2.8	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.44	1.06	0	0	0	0	0	0	0	0	0	0	0	0	3	0	6	4	0	0	3	0	4	3	0	3.6	3	3	3	0	3	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.66	1.67	4.5	3	3	0	3	2.4	3	0	0	3	0	3	4.1	0	6.5	3.4	0	3	0	2.4	3	3	2.4	0	0	2.4	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	0.69	0.91	5.2	3.1	3.5	0	0	3.1	0	0	0	2.4	0	0	3.1	0	6.3	3.7	0	3.1	0	4.3	4.5	4	3.1	0	0	0	0	0	0	2.4	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-1.37	-4.45	0	2.5	3.2	0	0	2.5	0	0	0	2.5	0	0	3.2	0	6.6	4.1	0	0	0	3.2	3.2	0	3.2	3.2	0	0	3.2	2.5	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	4.44	4.83	0	3.7	0	0	3	0	0	0	0	3	0	0	3	0	6.2	0	0	4.4	0	3.7	4.4	0	0	0	0	0	3	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.74	-5.84	5	3.7	4	2.4	2.4	2.4	3.7	0	0	2.4	0	2.4	3.7	0	6.6	4.4	0	0	0	0	3.7	0	2.4	0	0	0	0	2.4	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-0.32	2.36	4.8	4.2	4.8	3.3	0	0	0	2.6	0	3.3	0	3.3	3.7	0	6.1	3.3	0	2.6	2.6	0	3.7	2.6	2.6	0	2.6	0	0	0	2.6	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	2.11	-1.77	0	2.6	0	0	0	2.6	0	0	0	4	0	0	3.3	0	6.3	4.2	2.6	3.3	0	2.6	4	0	2.6	0	0	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	-2.92	-5.77	4.3	0	3.3	0	0	2.6	3.6	2.6	0	3.3	0	3.3	3.6	0	6.6	3.6	0	0	0	0	2.6	0	3.3	0	2.6	0	0	0	0	0	0
E7	E7_Anterior_primitive_streak	Anterior_primitive_streak	3.5	1.01	4.2	4.2	0	0	0	0	2.9	0	0	3.5	0	2.9	3.5	0	6.2	5	4.2	4.2	0	0	3.5	4.2	2.9	2.9	0	0	0	0	0	0	0
