day	Anno	celltype	UMAP_1	UMAP_2	down:Trp63	down:Sox6	down:Nr2f2	down:Sox5	down:Foxp2	down:Lef1	down:Bnc2	down:Bach2	down:Mbnl2	down:Nr3c1	down:Dach2	down:Rarb	down:Meis2	down:Foxp4	down:Foxp1
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	4.43	-0.6	0	0	0	0	0	0	0	0	4.9	0	0	0	6	0	4.9
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.68	-0.17	0	0	4.9	6.3	4.9	0	0	0	4.9	0	0	0	6.3	4.9	6.5
E9.5	E95_Epidermis	Epidermis	5.52	3.57	6	0	0	0	0	4.9	0	0	0	0	0	0	0	0	5.6
E9.5	E95_Epidermis	Epidermis	1.12	2.28	5.1	0	0	0	0	0	0	0	0	0	0	0	6.9	0	5.1
E9.5	E95_Epidermis	Epidermis	3.51	5.69	0	0	5.2	0	5.2	5.2	0	0	5.2	0	0	0	0	5.2	0
E9.5	E95_Epidermis	Epidermis	4.15	7.24	5.6	4.5	0	0	0	5.6	0	5.6	5.6	0	0	0	4.5	0	4.5
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	3.66	-3.49	0	0	5.1	4.4	4.4	4.4	0	0	0	0	0	0	5.5	4.4	4.4
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-0.33	0.64	0	0	0	0	0	5.2	0	0	5.2	0	0	0	6.5	5.6	5.6
E9.5	E95_Epidermis	Epidermis	3.63	3	5	0	0	0	0	0	0	0	0	5	0	5	6.4	5	5.7
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.41	3.03	0	0	0	4.9	0	5.6	0	0	0	0	0	0	5.6	0	0
E9.5	E95_Epidermis	Epidermis	2.47	2.45	6.7	0	0	0	0	0	0	0	0	0	0	0	5.3	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.8	3.89	0	0	0	0	0	0	0	0	0	0	0	0	5.4	0	4.7
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	3.51	-2.38	0	0	0	0	0	0	0	3.9	4.6	0	0	3.9	5.3	0	3.9
E9.5	E95_Epidermis	Epidermis	1.72	4.04	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5
E9.5	E95_Epidermis	Epidermis	3.73	6.69	5.7	5.1	0	0	0	5.7	0	0	5.1	0	5.1	0	6.2	5.1	0
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	-5.03	-2.21	0	0	5.2	0	0	0	0	5.2	5.2	0	0	0	0	0	5.2
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.01	3.53	5.4	5.8	0	6.1	0	4.7	0	5.4	0	0	6.1	0	4.7	0	5.4
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-2.61	1.53	0	0	0	0	0	0	0	0	0	0	0	0	5.9	0	0
E9.5	E95_Olfactory_epithelium	Olfactory_epithelium	-3.43	2.81	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5.7
E9.5	E95_Branchial_arch_epithelium	Branchial_arch_epithelium	1.23	-1.86	0	0	0	4.9	4.9	0	0	0	0	0	0	0	7	0	0
E9.5	E95_Epidermis	Epidermis	4.02	4.97	5	5	5.7	0	0	0	0	0	5	0	0	0	6.1	0	5
