day	Anno	celltype	UMAP_1	UMAP_2	marker:Tdo2	marker:Hsd11b2	marker:Pmp22	marker:Hand1	up:Foxp1	up:Hoxb2	up:Creb3l1	up:Mef2c	up:Gata5	up:Hlx	up:Nr2f2	up:Nkx2-3	down:Pitx1	down:Cdx2	down:Msx1	down:Hoxb6	down:Msx2	down:Hoxd1	down:Hoxd9	down:Lef1	down:Hoxb8	down:Sp5	down:Hoxa1	down:Tcf7	down:Cdx1	down:Hoxa10	down:Nkx1-2	down:Evx1	down:Alx3	down:Hoxb9
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.95	6.67	0	2.3	4.6	4.4	2.3	3	3	0	0	0	0	0	3.9	0	3.9	0	3.6	3.4	0	2.3	0	2.3	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.25	2.82	0	2.3	5.5	4.5	0	0	0	0	2.3	0	0	0	2.3	3	4.3	2.3	2.3	2.3	0	3	0	0	0	3	0	3.4	0	0	2.3	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.27	-4.19	4.6	2.3	5.1	4.3	2.3	2.3	0	0	0	0	0	0	3	2.3	2.3	2.3	0	0	0	0	0	0	0	0	0	0	0	0	2.3	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.89	1.73	1.8	0	4.3	4.2	2.4	3.3	0	0	1.8	1.8	0	0	2.8	2.8	3.3	1.8	2.4	3	0	3	3	1.8	2.4	2.4	3.6	1.8	0	1.8	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.1	-2.91	3.9	0	4.7	2.9	2.2	0	0	0	0	0	0	0	2.2	0	0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.59	0.14	3.4	2.7	4.6	4.5	2.1	3.7	1.5	0	0	0	0	1.5	0	0	1.5	1.5	1.5	0	0	0	0	0	0	0	0	1.5	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.31	-2.96	3.5	2	4.7	3.7	2	3	0	2	2	2	2	0	0	0	0	0	0	2	0	2.6	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.82	-0.22	0	3.6	2.9	3.6	0	2.9	2.9	0	0	0	0	0	0	0	2.9	0	0	2.9	0	0	0	0	0	2.9	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.9	3.22	2.8	1.8	4.5	4.5	2.8	3.1	2.4	0	0	0	0	0	2.8	2.4	4.2	1.8	2.4	0	2.4	0	1.8	0	1.8	1.8	0	2.8	0	1.8	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.58	2.69	2.5	0	0	4.7	0	0	0	0	0	2.5	0	0	0	2.5	4.3	3.5	0	3.1	2.5	0	0	0	0	2.5	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.62	6.18	2.3	2.9	4.9	4.2	0	0	0	0	2.3	0	0	0	4.5	2.3	0	3.6	2.9	0	0	2.3	0	0	0	2.9	0	0	2.3	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-5.77	4.76	0	0	2.4	2.4	0	0	0	0	0	0	0	0	3.1	3.5	3.1	0	3.7	0	0	3.1	0	0	0	3.1	0	0	2.4	0	0	2.4
E8	E8_Somatic_mesoderm	Somatic_mesoderm	4.03	-4.68	3.1	2.5	4.5	3.1	2.5	0	0	0	0	0	0	0	0	0	0	2.5	0	2.5	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.91	-6.49	0	3	5.2	4.9	0	3.4	0	0	2.4	0	2.4	0	0	0	3.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.84	4.4	3.7	3	2.4	4.4	2.4	3	0	0	0	2.4	0	0	2.4	0	0	0	2.4	0	0	0	2.4	2.4	0	0	2.4	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	3.68	-3.14	4.4	1.8	4.6	3.6	2.4	2.8	1.8	0	0	0	0	0	1.8	2.8	0	0	1.8	0	0	0	0	0	0	0	0	0	1.8	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-0.38	-0.89	2.9	0	5.1	3.9	0	2.5	1.9	0	0	0	0	1.9	0	1.9	1.9	0	0	2.5	1.9	0	0	1.9	2.9	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-2.85	3.31	0	2.5	3.6	4.2	0	0	0	0	0	0	0	0	2.5	4.1	2.5	0	0	0	3.6	0	0	0	0	0	2.5	0	0	2.5	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-3.36	4.23	0	2.3	2.3	3.3	2.9	0	0	0	0	0	0	0	2.3	2.9	3.6	2.9	2.9	2.3	0	3.6	0	0	0	0	0	0	2.3	3.3	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-1.7	-6.28	2.8	3	5.5	4.3	0	4	0	0	1.8	0	0	0	0	1.8	4.1	1.8	3.4	0	0	1.8	0	0	2.4	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	0.11	-1.15	2.8	1.8	4.8	4.3	3	4.2	1.8	0	1.8	1.8	0	0	0	1.8	2.4	2.4	0	1.8	0	1.8	0	0	0	0	0	0	0	0	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	2.97	-2.66	3.7	3.5	5.1	3.5	2.4	0	0	0	0	2.4	0	0	2.4	0	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	1.68	6.06	2.1	3.4	5.1	3.6	2.8	2.1	3.1	0	0	0	0	0	2.8	0	2.8	0	3.1	0	0	0	0	0	2.1	0	0	0	2.1	2.1	0	0
E8	E8_Somatic_mesoderm	Somatic_mesoderm	-4.45	5.22	2	2	2.6	4.4	0	2	0	0	0	3	0	0	0	3.6	3.6	2.6	2	2	2.6	0	2	0	0	2	0	0	0	0	0	0
