day	Anno	celltype	UMAP_1	UMAP_2	marker:Foxa2	marker:Shh	marker:Ntn1	marker:Bmp7	up:Nkx6-1	up:Foxa1	up:Nkx2-9	up:Tox2	up:Arx	up:Tsc22d1	up:Peg3	up:Rfx4	up:Barx2	up:En1	up:Hey1	up:Sox4	up:Mxd4	up:Tal2	up:Dmrtb1	up:Sox2	up:Xbp1	up:Hes1	up:Pou6f2	up:Otx2	down:Id2	down:Lyar	down:Irx3	down:Irx5	down:Hes3	down:Hmgb1	down:Irx2	down:Mycn	down:Meis2	down:Cnbp	down:Pax3	down:Id1	down:Gli3	down:Myc
E8.5a	E85a_Hindbrain	Hindbrain	1.22	5.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	1.8	0	0	4.3	4.1	2.4	2.4	3.1	5.5	1.8	2.4	3.4	4.9	0	2.4	1.8	0
E8.5a	E85a_Hindbrain	Hindbrain	3.4	-0.88	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2.6	0	0	0	2	2	0	0	0	3	4.5	2.6	2.6	0	5.4	0	3	0	5.2	0	2.6	2	0
E8.5a	E85a_Posterior_floor_plate	Posterior_floor_plate	-4.81	5.08	2.1	0	0	0	3.1	0	3.6	0	0	2.1	0	0	0	0	0	2.1	0	0	0	0	2.1	0	0	0	3.6	4.4	2.1	0	0	5.6	0	3.6	0	5.1	0	3.8	0	0
E8.5a	E85a_Hindbrain	Hindbrain	5.4	-5.46	0	0	0	0	0	0	0	0	0	3.6	0	1.8	0	0	0	1.8	0	0	0	0	1.8	0	0	0	5.2	4.3	2.8	0	0	5.4	1.8	2.4	3.5	5.2	1.8	4	2.4	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-9.04	1.63	3.4	0	0	0	4	0	2.7	0	2.7	5.4	3.8	0	0	0	3.4	4.7	4.3	0	0	3.4	0	3.4	0	0	0	0	0	0	0	4.4	0	0	2.7	4.3	0	2.7	0	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-8.6	0.74	2.8	0	2.2	0	3.5	2.2	3.2	0	0	3.2	0	2.2	0	0	0	2.8	2.2	0	0	2.2	2.2	2.8	0	0	2.8	2.2	0	0	0	5.8	0	0	3.2	4.4	0	2.2	0	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-8.83	-0.38	2.7	2.7	0	0	2.7	3.4	0	0	0	4.1	3.8	0	0	0	0	3.8	0	0	0	3.4	0	2.7	0	0	0	0	0	0	2.7	4.5	0	0	0	3.4	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	1.7	4.55	0	0	0	0	0	0	0	0	0	3.6	1.8	2.4	0	0	0	3.8	0	0	0	2.4	2.4	0	0	0	4	3.4	2.8	0	0	6.1	3	1.8	3.3	5.1	2.8	2.8	0	0
E8.5a	E85a_Hindbrain	Hindbrain	6.81	1.76	0	0	0	0	0	0	0	0	0	4.3	0	0	0	0	0	3.2	0	0	0	2	3.2	0	0	0	2	3.6	3	0	0	5.7	0	3.5	2	4.4	0	2	0	0
E8.5a	E85a_Hindbrain	Hindbrain	1.03	6.89	0	0	1.5	0	1.5	0	1.5	0	0	3.6	1.5	1.5	0	0	0	3.4	1.5	0	0	2.8	0	0	0	0	2.8	3.9	2.8	2.1	0	5.5	1.5	2.8	3	5.2	0	2.5	0	2.1
E8.5a	E85a_Hindbrain	Hindbrain	1.71	4.28	0	0	0	0	0	0	0	0	0	2.7	0	1.7	0	0	0	2.7	0	0	0	2.3	1.7	0	0	0	5.2	3.9	0	1.7	1.7	5.8	2.7	3	3.4	4.7	0	4.3	2.7	0
E8.5a	E85a_Hindbrain	Hindbrain	-0.34	6.57	0	0	0	0	2.4	0	0	0	0	3.8	0	1.8	1.8	0	0	2.4	0	0	0	3.3	0	2.4	0	0	3.4	3.6	1.8	3.1	0	5.7	0	2.4	3.1	4.9	0	1.8	0	0
E8.5a	E85a_Hindbrain	Hindbrain	0.15	7.06	0	0	0	0	0	0	0	0	0	2.6	0	2	0	0	0	2	0	0	0	2.6	2	2.6	0	0	3.7	3.8	3.8	3.3	0	5.6	0	2	3.5	4.9	0	3	2	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-8.46	1.87	3.3	0	0	0	0	0	3.3	0	0	4.8	3.7	2.6	2.6	0	0	4	0	0	0	2.6	0	0	0	0	0	2.6	0	0	0	5.5	0	0	3.7	4.3	0	2.6	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-1.12	-1.01	0	0	0	0	0	0	0	0	0	2.2	0	1.7	0	0	0	3.3	0	0	0	2.2	2.2	1.7	0	0	3.6	4.2	2.6	2.6	3.7	5.6	0	2.9	2.6	4.9	2.2	3.1	1.7	0
E8.5a	E85a_Hindbrain	Hindbrain	1.81	-4.24	0	0	0	0	2.7	0	0	0	0	3.7	0	0	0	0	0	2.3	0	0	0	3.5	1.7	1.7	0	0	3.9	4.5	2.7	0	2.3	5.6	0	3	2.7	5.1	0	2.3	0	1.7
E8.5a	E85a_Hindbrain	Hindbrain	1.65	7.09	0	0	0	0	0	0	0	0	0	2	2.7	2.7	0	0	0	3.1	0	0	0	2.7	0	2	0	0	4.6	3.6	3.6	0	0	5.4	3.3	3.7	3.7	5	0	2.7	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-2.65	-3.26	0	0	0	0	2	0	0	0	0	3.5	0	0	0	0	0	2	0	0	0	2.6	2.6	2	0	0	2.6	4.1	2.6	2.6	0	5.4	0	3	3	4.7	0	3.5	0	2
E8.5a	E85a_Posterior_floor_plate	Posterior_floor_plate	-7.74	2.51	3.2	0	0	0	2.5	0	4.3	0	0	3.9	0	0	2.5	0	0	3.9	2.5	0	0	3.2	2.5	3.2	0	0	0	3.6	0	0	0	4.9	0	0	0	4.8	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	4.51	-6.15	0	0	1.4	0	0	0	0	0	0	2.6	0	0	0	0	1.4	3.4	0	0	0	1.4	2	1.4	0	0	4.6	3.9	2	2	0	5.7	0	2.4	3	4.9	0	3.7	0	1.4
E8.5a	E85a_Hindbrain	Hindbrain	7.11	-0.43	0	0	0	0	0	0	0	0	0	3.1	0	0	0	0	0	3.6	0	0	0	2.1	0	2.1	0	0	4.6	4.4	0	2.1	0	5.8	2.1	3.4	2.1	5.2	0	2.7	0	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-7.73	0.53	2.4	0	0	2.4	0	0	2.4	3	2.4	3.4	3.9	2.4	2.4	0	2.4	3.9	0	0	0	3.4	0	2.4	0	0	0	0	0	0	0	4.9	0	3.4	2.4	4.1	0	3	0	0
E8.5a	E85a_Hindbrain	Hindbrain	2.01	-4.72	0	0	0	0	0	0	0	0	0	3.6	0	0	0	0	1.8	3.3	0	0	0	3	1.8	1.8	0	0	2.4	4.3	3.3	2.4	0	5.4	0	2.8	2.4	5.2	0	3.6	1.8	3
E8.5a	E85a_Hindbrain	Hindbrain	0.43	-2.79	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	2	3	0	0	0	2	4.2	3	3	0	5.4	0	2	2	5.4	0	2	0	0
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-8.9	1.23	0	0	0	0	2.6	2.6	0	0	0	4.6	2.6	0	0	0	0	4.2	3.3	0	0	0	0	3.7	0	0	2.6	3.3	0	0	0	4.9	0	0	2.6	4.2	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-0.2	6.59	0	0	0	0	2.5	0	0	0	0	3.3	0	1.9	0	0	0	1.9	0	0	0	3.3	1.9	0	0	0	3.9	3.5	3.3	1.9	0	5.2	1.9	3.1	3.3	5	0	3.3	0	1.9
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-8.5	1.02	2.5	2.5	0	0	2.5	0	3.1	0	2.5	4.5	2.5	2.5	0	0	2.5	0	0	0	0	3.1	2.5	2.5	0	0	0	3.1	0	0	0	5.5	0	0	2.5	4.2	0	2.5	0	0
E8.5a	E85a_Hindbrain	Hindbrain	1.8	-2.43	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	2	0	0	0	0	2	2.6	0	0	3.3	3.8	2	3	0	5.5	2	2	2	5.1	2.6	2.6	2	2
E8.5a	E85a_Hindbrain	Hindbrain	-1.48	0.01	2.4	0	0	2.4	0	2.4	0	0	0	0	3.7	0	0	0	0	2.4	2.4	0	0	2.4	2.4	3	0	0	5.2	3	0	0	3.4	5.5	0	2.4	2.4	5.1	2.4	3.7	0	0
E8.5a	E85a_Posterior_floor_plate	Posterior_floor_plate	-7.01	1.69	2.3	0	0	2.3	0	0	3.4	0	0	3.9	3.4	3.6	0	0	0	4	0	0	0	0	0	0	0	0	2.3	4.4	0	0	0	5.5	0	0	3	3.9	0	0	0	0
E8.5a	E85a_Hindbrain	Hindbrain	4.16	-2.03	0	0	0	0	0	0	0	0	0	3.4	0	0	0	0	0	0	0	0	0	2.7	3.4	0	0	0	3.4	0	2.7	0	0	5.5	0	0	3.4	5.4	0	0	2.7	0
E8.5a	E85a_Hindbrain	Hindbrain	-2.64	0.57	0	0	1.9	0	0	0	0	0	0	2.5	2.5	0	0	0	0	4.1	0	0	0	3.2	1.9	1.9	0	0	3.9	4.4	2.9	2.5	1.9	5.1	0	2.5	2.5	4.7	0	3.2	0	0
E8.5a	E85a_Hindbrain	Hindbrain	-3.17	-2.68	3.5	0	0	0	0	0	3.7	0	0	2.8	0	0	0	0	0	0	0	0	0	2.2	2.2	3.7	0	0	2.2	4.1	2.2	0	0	5.7	0	2.2	2.2	4.7	0	2.2	0	0
E8.5a	E85a_Hindbrain	Hindbrain	6.9	-0.92	0	0	0	0	0	0	0	0	0	3.9	0	2.2	0	0	0	2.8	0	0	0	1.8	2.2	2.4	0	0	4.2	3.6	0	1.3	2.6	5.3	0	1.3	2.8	4.7	0	2.4	1.3	1.3
E8.5a	E85a_Anterior_floor_plate	Anterior_floor_plate	-6.25	0.6	2	0	0	0	2	0	2	0	0	3.5	2.6	2.6	0	0	0	4.2	2	0	0	2.6	2	3.2	0	0	0	3.2	2	0	0	5.4	0	0	0	4.4	0	2	0	0
E8.5a	E85a_Hindbrain	Hindbrain	4.1	-2.56	0	0	0	0	0	0	0	0	0	2.8	0	2.5	0	0	0	2.8	0	0	0	1.9	0	0	0	0	2.5	4.4	3.7	1.9	2.8	5.7	0	2.5	3.7	5.3	0	1.9	0	0
E8.5a	E85a_Hindbrain	Hindbrain	2.29	2.49	0	0	0	0	0	0	0	0	0	1.7	2.3	0	0	0	1.7	2.7	1.7	0	0	2.3	3	0	1.7	0	5.6	3.5	0	0	1.7	5.6	2.7	0	1.7	4.7	2.3	5.2	0	0
