day	Anno	celltype	UMAP_1	UMAP_2	Gata6	Hand1	Lefty2	Lhx1	Mesp1	Mesp2	Sp5
E6.5	E65_Primitive_Streak	Primitive_Streak	3.29	0.16	0	0	0	0	0	0	0.9
E6.5	E65_Primitive_Streak	Primitive_Streak	1.26	-3.7	0.1	1.5	3.8	1.2	3.4	2.8	2.6
E6.5	E65_Primitive_Streak	Primitive_Streak	0.38	-0.89	0	0	2.1	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	5.41	-1.31	1.9	0	5.3	3.7	3.6	1.7	3.3
E6.5	E65_Primitive_Streak	Primitive_Streak	3.5	-1.94	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.93	-1.23	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.59	-2.52	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.75	2.51	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.67	0.62	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.7	2	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.87	1.22	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	1.16	-2.13	0	0	1.8	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	0.42	-2.88	0	0	2	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.58	1.73	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-2.12	-0.94	0	1.8	1.8	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-1.66	-0.84	0	0	3	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.99	-1.74	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	4.41	3.14	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.14	-0.15	0	2.4	2.4	0	2.4	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-4.09	-0.95	0	0	0	0	4.7	0	2.2
E6.5	E65_Primitive_Streak	Primitive_Streak	4.27	2.39	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	-0.85	0.81	0	0	0	0	0	0	0
E6.5	E65_Primitive_Streak	Primitive_Streak	2.01	0.98	0	0	0	0	0	0	0
