day	Anno	celltype	UMAP_1	UMAP_2	marker:Osr1	marker:Lhx1	marker:Pax2	marker:Pax8	up:Hmga2	up:Foxp1	up:Meis1	up:Foxc2	up:Tcf7l1	up:Twist1	up:Alx1	up:Irx1	up:Pbx1	down:T	down:Mixl1	down:Evx1	down:Nkx1-2
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.87	-5.97	0	0	0	0	0	0	0	0	0	2.4	0	0	0	0	0	0	2.4
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	-1.38	-3.67	2.1	0	0	0	0	0	0	0	0	0	0	0	2.1	3.1	3.6	3.4	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	0.99	2.77	0	0	0	0	3.1	1.8	0	1.8	2.5	0	0	0	2.5	3.1	0	0	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	4	-4.39	1.8	0	0	0	3.1	1.8	1.8	0	0	2.4	0	0	1.8	1.8	0	2.4	1.8
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	4.2	2	0	1.4	0	0	3.1	1.4	0	2	2.6	2	1.4	2.6	2	1.4	0	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-2.36	-0.16	0	2.2	0	0	2.2	0	0	2.2	2.2	0	0	0	2.2	2.2	2.2	0	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	3.51	4	0	0	0	0	3.1	1.8	0	1.8	0	1.8	0	0	2.4	0	0	0	0
E7.75	E775_Intermediate_mesoderm	Intermediate_mesoderm	3.27	4.19	0	0	0	0	2.7	0	2.1	2.1	2.1	2.1	0	2.1	2.7	2.1	0	2.1	0
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	1.91	-3.82	2.6	0	0	0	3.3	0	0	0	0	0	0	0	2	0	0	3.3	2
E7.75	E775_Extraembryonic_mesoderm	Extraembryonic_mesoderm	0.37	-4.03	2	0	0	0	3.8	2	0	0	0	0	0	0	0	0	2	0	0
E7.75	E775_Paraxial_mesoderm_B	Paraxial_mesoderm_B	-1.1	2.38	0	0	0	0	3.2	0	0	2.3	0	0	0	0	2.3	3.2	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-7.02	-1.84	0	0	0	0	2	0	0	0	0	0	0	0	0	3.1	0	3.3	2
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	1.36	5.24	0	2.6	0	0	2.6	2	0	0	0	0	0	2	3	3.3	2	2	0
E7.75	E775_Nascent_mesoderm	Nascent_mesoderm	4.48	1.75	0	0	0	0	2.7	0	0	2	0	2.7	0	2.7	2.7	0	0	0	0
E7.75	E775_Paraxial_mesoderm_C	Paraxial_mesoderm_C	-4.25	0.71	0	0	0	0	2.8	0	0	0	0	0	0	0	2.2	4	2.8	2.2	2.8
