day	Anno	celltype	UMAP_1	UMAP_2	down:Pou5f1	down:Gbx2	down:Hoxb1	down:Hoxa1	down:Tal2	down:Dlx5
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.56	0.91	2.9	3.2	2.6	4.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.73	3.85	3.4	0	1.9	1.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.16	1.04	3.9	1.8	3	2.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.48	2.83	2.4	0	0	4.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.83	2.18	3.5	2.4	1.5	2.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.07	-3.13	4	2.6	0	2.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.39	1.79	3.6	0	0	4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.48	0.53	3.5	0	2.9	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.25	2.19	3.4	2.5	1.9	4.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.46	3.99	3.5	1.9	1.9	4.3	1.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.05	0.17	3.1	0	1.7	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.03	-0.6	3.8	0	0	4.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.57	-1.22	4.2	1.9	3.1	4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.96	2.94	3.3	0	1.7	3.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.55	0.83	2	2	2.6	3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.42	3.1	2.7	0	1.7	4.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.82	-0.01	2.7	0	3.3	4.3	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.46	2.75	4.1	0	2	3.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.73	-0.16	3.8	0	0	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.68	-0.13	3.4	0	2.1	2.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.61	-1.44	3.7	1.9	1.9	3.4	1.9	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.61	-0.42	3.9	2.6	0	3.9	2.6	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-4.35	-0.58	3.7	2.4	1.8	1.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	3.42	-2.46	3.9	2	2	0	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.94	-3.24	4.2	2.6	0	3.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.91	-0.43	3.7	0	0	3.2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.39	3.82	2.9	2.9	1.9	4.8	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	1.37	3.68	2.9	0	2.9	3.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.93	1	2.5	1.3	1.3	2.5	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-2.49	-0.61	3.7	2.1	0	2.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-3.15	-2.52	4.3	2.1	2.1	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.37	1.88	3.6	0	2.1	3.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.26	3.02	3.3	1.5	2.7	4.1	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-0.73	-1.98	4.1	0	0	3.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.32	0.46	4.1	0	0	3.4	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.34	-3.4	4.7	2.7	0	2	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.35	-3.98	4.4	2.8	3.1	3.6	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.38	3.2	2.8	0	1.8	3.9	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	0.02	-3.76	4.2	2.1	2.1	2.7	0	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	-1.19	-2.46	3.5	2	0	3	2	0
E7.75	E775_Caudal_neuroectoderm	Caudal_neuroectoderm	2.32	-2.55	4.1	0	0	2.7	0	0
