node_id	best_path	gene_use
E85_ExE_mesoderm	E85_ExE_mesoderm,E825_ExE_mesoderm,E8_ExE_mesoderm,E775_ExE_mesoderm,E75_ExE_mesoderm,E725_Mixed_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Car2,Tmem238,Emb,Ctsc,Upp1,Hoxb8,Hoxa7,Hoxc8,Zfp503,Hoxa9,Bmp4,Cdx2,Hoxa10
E125_Somatic_mesoderm_B	E125_Somatic_mesoderm_B,E115_Somatic_mesoderm_B,E105_Somatic_mesoderm_B,E95_Somatic_mesoderm_B,E85_Somatic_mesoderm_B,E825_Somatic_mesoderm_B,E8_Somatic_mesoderm,E775_Somatic_mesoderm,E75_Somatic_mesoderm,E725_Somatic_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Emb,Pgk1,Rsl1d1,Hnrnpf,Pou5f1,Wt1,Col1a2,Fstl1,Gria1,Dcn,Slc2a3,Postn
E85_Somatic_mesoderm_B	E85_Somatic_mesoderm_B,E825_Somatic_mesoderm_B,E8_Somatic_mesoderm,E775_Somatic_mesoderm,E75_Somatic_mesoderm,E725_Somatic_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Car2,Upp1,Tmem238,Pou5f1,Emb,Hoxc8,Popdc2,Pgf,Hoxb7,Tcf21,Slc2a3,Postn
E125_Inhibitory_neuron_prog	E125_Inhibitory_neuron_prog,E115_Inhibitory_neuron_prog,E105_Inhibitory_neuron_prog,E95_Neuron_prog,E85_Hindbrain,E825_Hindbrain,E8_Rostral_neurectoderm,E775_Rostral_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Car14,Emb,Cdca8,Slc16a3,Anp32b,Nsg2,Podxl2,Rnd3,Ephb1,Lhx5,Pax2,Slc6a5
E725_Def_endoderm	E725_Def_endoderm,E7_Anterior_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Dppa5a,Mt1,Pim2,Mkrn1,Mt2,Cfc1,H2afy,H2afy2,Dgkk,Perp,Cer1,Krt18
E135_Oligodendrocyte_precursor	E135_Oligodendrocyte_precursor,E125_Oligodendrocyte_precursor,E115_Spinal_cord,E105_Spinal_cord,E95_Spinal_cord,E85_Spinal_cord,E825_Spinal_cord,E8_Caudal_neurectoderm,E775_Caudal_neurectoderm,E75_Rostral_neurectoderm,E725_Epiblast,E7_Epiblast,E675_Epiblast,E65_Epiblast,E625_Epiblast	Car14,Rbpms2,Slc16a3,Emb,Apex1,Ptprz1,Sox6,Maml2,Grid2,Csmd1,Ptptrz1,Pcdh15
E8_Somatic_mesoderm	E8_Somatic_mesoderm,E775_Somatic_mesoderm,E75_Somatic_mesoderm,E725_Somatic_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Upp1,Car2,Tmem238,Pou5f1,Acer2,Wisp1,Hoxc8,Tcf21,Tnnt2,Pitx1,Krt8,Pmp22,Ahnak
E75_Paraxial_mesoderm_A	E75_Paraxial_mesoderm_A,E725_Nascent_mesoderm,E7_Nascent_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Eomes,Ckb,Tspan13,Sgk1,Car2,Twist1,Fignl2,Pxylp1,Ptgds,Irx1,Tbx1,Pax3
E825_Allantois	E825_Allantois,E8_Allantois,E775_Allantois,E75_ExE_mesoderm,E725_Mixed_mesoderm,E7_Mixed_mesoderm,E675_Nascent_mesoderm,E65_Primitive_Streak,E625_Epiblast	Pid1,Vrtn,Pou5f1,Car2,Emb,Pitx1,Twist2,Twist1,Cdkn1c,Gata5,Tbx4,Hoxa11
E135_Foregut_Midgut_Hindgut_epithelium	E135_Foregut_Midgut_Hindgut_epithelium,E125_Foregut_Midgut_Hindgut_epithelium,E115_Foregut_Midgut_Hindgut_epithelium,E105_Foregut_Midgut_Hindgut_epithelium,E95_Foregut_Midgut_Hindgut_epithelium,E85_Gut,E825_Gut,E8_Gut,E775_Gut,E75_Def_endoderm,E725_Def_endoderm,E7_Anterior_Primitive_Streak,E675_Primitive_Streak,E65_Primitive_Streak,E625_Epiblast	Sall4,Apex1,Emb,Prps1,Pgk1,Col27a1,Hnf4g,Nfia,Prkca,Pcdh9,Hoxa10,Gata4,Prox1,Foxp2
